[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.93 / 6.06
8,Gage length [mm],25
9,Area,17.7558
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,-1.132,0.001,0.004,-0.625,0
0.2,1.784,0.0055,0.022,0.985,0
0.3,9.303,0.0105,0.042,5.135,0
0.4,19.845,0.0155,0.062,10.954,0
0.5,28.757,0.02,0.08,15.873,0
0.6,37.852,0.025,0.1,20.893,0
0.7,44.926,0.0295,0.118,24.797,0
0.8,51.037,0.0345,0.138,28.171,0
0.9,58.186,0.0395,0.158,32.117,0
1,65.636,0.0445,0.178,36.229,0
1.1,73.143,0.0495,0.198,40.372,0
1.2,81.678,0.0545,0.218,45.084,0
1.3,89.998,0.0595,0.238,49.676,0
1.4,98.484,0.0645,0.258,54.36,0
1.5,107.84,0.0695,0.278,59.524,0
1.6,116.537,0.0745,0.298,64.325,0
1.7,125.866,0.08,0.32,69.474,0
1.8,135.369,0.0845,0.338,74.719,0
1.9,143.835,0.0895,0.358,79.392,0
2,153.351,0.0945,0.378,84.645,0
2.1,162.362,0.099,0.396,89.619,0
2.2,170.544,0.104,0.416,94.135,0
2.3,179.61,0.109,0.436,99.139,0
2.4,188.005,0.1135,0.454,103.772,0
2.5,196.072,0.118,0.472,108.225,0
2.6,204.885,0.123,0.492,113.09,0
2.7,213.397,0.128,0.512,117.788,0
2.8,222.037,0.133,0.532,122.557,0
2.9,231.287,0.138,0.552,127.663,0
3,239.882,0.143,0.572,132.407,0
3.1,248.973,0.1485,0.594,137.425,0
3.2,258.019,0.1535,0.614,142.418,0
3.3,266.177,0.1585,0.634,146.921,0
3.4,275.208,0.1635,0.654,151.906,0
3.5,283.278,0.168,0.672,156.36,0
3.6,291.049,0.173,0.692,160.649,0
3.7,299.728,0.178,0.712,165.439,0
3.8,307.345,0.1825,0.73,169.644,0
3.9,314.939,0.1875,0.75,173.836,0
4,323.385,0.1925,0.77,178.498,0
4.1,330.994,0.197,0.788,182.697,0
4.2,338.866,0.202,0.808,187.042,0
4.3,347.264,0.2065,0.826,191.678,0
4.4,355.218,0.2115,0.846,196.068,0
4.5,363.579,0.2165,0.866,200.683,0
4.6,372.361,0.2215,0.886,205.531,0
4.7,380.598,0.2265,0.906,210.077,0
4.8,389.765,0.2315,0.926,215.137,0
4.9,397.981,0.2365,0.946,219.672,0
5,406.205,0.242,0.968,224.212,0
5.1,415.21,0.2465,0.986,229.182,0
5.2,422.635,0.2515,1.006,233.28,0
5.3,430.69,0.2565,1.026,237.726,0
5.4,438.997,0.261,1.044,242.311,0
5.5,445.959,0.2655,1.062,246.154,0
5.6,453.624,0.2705,1.082,250.385,0
5.7,461.368,0.2755,1.102,254.66,0
5.8,468.152,0.28,1.12,258.404,0
5.9,476.167,0.285,1.14,262.828,0
6,483.728,0.29,1.16,267.002,0
6.1,491.008,0.295,1.18,271.02,0
6.2,499.065,0.3,1.2,275.467,0
6.3,506.48,0.305,1.22,279.56,0
6.4,514.061,0.3105,1.242,283.744,0
6.5,521.996,0.315,1.26,288.124,0
6.6,528.756,0.32,1.28,291.855,0
6.7,535.908,0.3255,1.302,295.803,0
6.8,543.12,0.3305,1.322,299.784,0
6.9,549.637,0.335,1.34,303.381,0
7,557.296,0.3405,1.362,307.609,0
7.1,563.86,0.345,1.38,311.231,0
7.2,569.626,0.3495,1.398,314.414,0
7.3,576.653,0.3545,1.418,318.293,0
7.4,582.79,0.359,1.436,321.68,0
7.5,588.854,0.364,1.456,325.028,0
7.6,595.718,0.369,1.476,328.816,0
7.7,601.74,0.374,1.496,332.14,0
7.8,608.323,0.379,1.516,335.773,0
7.9,615.096,0.384,1.536,339.512,0
8,621.135,0.389,1.556,342.845,0
8.1,627.81,0.3945,1.578,346.53,0
8.2,634.32,0.3995,1.598,350.123,0
8.3,639.978,0.4045,1.618,353.246,0
8.4,646.764,0.4095,1.638,356.992,0
8.5,652.479,0.4145,1.658,360.146,0
8.6,657.664,0.4195,1.678,363.008,0
8.7,664.293,0.4245,1.698,366.667,0
8.8,669.109,0.429,1.716,369.326,0
8.9,674.45,0.434,1.736,372.274,0
9,680.421,0.4385,1.754,375.569,0
9.1,685.585,0.4435,1.774,378.42,0
9.2,690.988,0.4485,1.794,381.402,0
9.3,696.927,0.453,1.812,384.68,0
9.4,702.108,0.458,1.832,387.54,0
9.5,708.101,0.4635,1.854,390.848,0
9.6,713.539,0.4685,1.874,393.85,0
9.7,718.659,0.4735,1.894,396.676,0
9.8,724.736,0.4785,1.914,400.03,0
9.9,729.348,0.4835,1.934,402.575,0
10,734.528,0.489,1.956,405.434,0
10.1,739.976,0.494,1.976,408.442,0
10.2,744.188,0.4985,1.994,410.767,0
10.3,748.892,0.504,2.016,413.363,0
10.4,753.772,0.5085,2.034,416.057,0
10.5,757.653,0.513,2.052,418.199,0
10.6,762.243,0.518,2.072,420.732,0
10.7,766.813,0.5225,2.09,423.255,0
10.8,770.842,0.5275,2.11,425.479,0
10.9,775.673,0.5325,2.13,428.145,0
11,779.707,0.5375,2.15,430.372,0
11.1,783.961,0.5425,2.17,432.72,0
11.2,788.74,0.5475,2.19,435.358,0
11.3,792.848,0.5525,2.21,437.625,0
11.4,796.994,0.558,2.232,439.914,0
11.5,801.776,0.563,2.252,442.553,0
11.6,805.038,0.5675,2.27,444.354,0
11.7,809.318,0.573,2.292,446.716,0
11.8,813.121,0.578,2.312,448.815,0
11.9,816.171,0.5825,2.33,450.499,0
12,820.47,0.588,2.352,452.872,0
12.1,823.6,0.5925,2.37,454.599,0
12.2,826.4,0.5975,2.39,456.145,0
12.3,830.244,0.6025,2.41,458.267,0
12.4,833.14,0.607,2.428,459.865,0
12.5,835.971,0.612,2.448,461.428,0
12.6,839.551,0.617,2.468,463.404,0
12.7,842.346,0.6215,2.486,464.947,0
12.8,845.526,0.627,2.508,466.702,0
12.9,848.738,0.632,2.528,468.475,0
13,851.398,0.637,2.548,469.943,0
13.1,854.637,0.6425,2.57,471.731,0
13.2,857.25,0.647,2.588,473.173,0
13.3,859.581,0.6525,2.61,474.459,0
13.4,862.697,0.6575,2.63,476.179,0
13.5,864.648,0.6625,2.65,477.256,0
13.6,866.612,0.6675,2.67,478.34,0
13.7,869.581,0.6725,2.69,479.979,0
13.8,871.089,0.677,2.708,480.811,0
13.9,873.092,0.682,2.728,481.917,0
14,875.502,0.6865,2.746,483.247,0
14.1,876.978,0.6915,2.766,484.062,0
14.2,879.214,0.6965,2.786,485.296,0
14.3,881.243,0.701,2.804,486.416,0
14.4,882.869,0.706,2.824,487.314,0
14.5,885.062,0.7115,2.846,488.524,0
14.6,886.744,0.7165,2.866,489.453,0
14.7,888.155,0.7215,2.886,490.232,0
14.8,890.387,0.7265,2.906,491.463,0
14.9,891.511,0.7315,2.926,492.084,0
15,892.947,0.7365,2.946,492.877,0
15.1,894.715,0.742,2.968,493.852,0
15.2,895.65,0.7465,2.986,494.369,0
15.3,897.119,0.7515,3.006,495.179,0
15.4,898.542,0.7565,3.026,495.965,0
15.5,899.045,0.761,3.044,496.242,0
