[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.94 / 6.06
8,Gage length [mm],25
9,Area,17.8164
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,0.736,0.0025,0.01,0.405,0
0.2,4.84,0.0075,0.03,2.662,0
0.3,13.194,0.0125,0.05,7.258,0
0.4,22.297,0.017,0.068,12.265,0
0.5,31.388,0.022,0.088,17.266,0
0.6,39.887,0.027,0.108,21.942,0
0.7,47.548,0.0315,0.126,26.155,0
0.8,55.768,0.037,0.148,30.677,0
0.9,64.179,0.042,0.168,35.304,0
1,72.7,0.047,0.188,39.991,0
1.1,82.344,0.0525,0.21,45.296,0
1.2,91.295,0.057,0.228,50.22,0
1.3,100.521,0.0625,0.25,55.296,0
1.4,110.562,0.0675,0.27,60.819,0
1.5,119.378,0.072,0.288,65.668,0
1.6,129.151,0.0775,0.31,71.044,0
1.7,138.903,0.082,0.328,76.409,0
1.8,147.81,0.0865,0.346,81.309,0
1.9,157.433,0.092,0.368,86.602,0
2,167.411,0.0965,0.386,92.091,0
2.1,176.414,0.101,0.404,97.044,0
2.2,186.48,0.106,0.424,102.581,0
2.3,196.347,0.111,0.444,108.008,0
2.4,206.192,0.116,0.464,113.424,0
2.5,216.882,0.121,0.484,119.304,0
2.6,227.128,0.126,0.504,124.94,0
2.7,237.59,0.131,0.524,130.696,0
2.8,248.503,0.1365,0.546,136.698,0
2.9,258.356,0.141,0.564,142.118,0
3,268.999,0.1465,0.586,147.973,0
3.1,278.877,0.1515,0.606,153.407,0
3.2,287.888,0.1565,0.626,158.364,0
3.3,298.038,0.1615,0.646,163.947,0
3.4,306.786,0.166,0.664,168.76,0
3.5,314.903,0.1705,0.682,173.225,0
3.6,324.161,0.1755,0.702,178.317,0
3.7,332.269,0.18,0.72,182.777,0
3.8,340.403,0.185,0.74,187.252,0
3.9,349.598,0.19,0.76,192.31,0
4,357.752,0.1945,0.778,196.795,0
4.1,366.612,0.2,0.8,201.669,0
4.2,375.751,0.205,0.82,206.696,0
4.3,383.878,0.2095,0.838,211.167,0
4.4,393.163,0.215,0.86,216.274,0
4.5,401.572,0.22,0.88,220.9,0
4.6,409.74,0.225,0.9,225.394,0
4.7,418.927,0.23,0.92,230.447,0
4.8,427.033,0.2345,0.938,234.906,0
4.9,434.955,0.24,0.96,239.264,0
5,443.706,0.2445,0.978,244.078,0
5.1,451.057,0.249,0.996,248.122,0
5.2,458.784,0.254,1.016,252.372,0
5.3,467.025,0.259,1.036,256.905,0
5.4,474.277,0.263,1.052,260.894,0
5.5,482.02,0.2685,1.074,265.154,0
5.6,489.977,0.273,1.092,269.531,0
5.7,497.503,0.278,1.112,273.671,0
5.8,505.877,0.283,1.132,278.277,0
5.9,513.738,0.288,1.152,282.601,0
6,521.232,0.293,1.172,286.724,0
6.1,529.572,0.2985,1.194,291.312,0
6.2,536.857,0.303,1.212,295.319,0
6.3,544.15,0.3085,1.234,299.331,0
6.4,552.079,0.3135,1.254,303.692,0
6.5,558.258,0.318,1.272,307.092,0
6.6,565.622,0.3235,1.294,311.142,0
6.7,572.827,0.328,1.312,315.106,0
6.8,578.954,0.333,1.332,318.476,0
6.9,586.275,0.338,1.352,322.503,0
7,592.997,0.3425,1.37,326.201,0
7.1,599.263,0.347,1.388,329.648,0
7.2,606.372,0.352,1.408,333.559,0
7.3,613.32,0.357,1.428,337.38,0
7.4,619.823,0.362,1.448,340.958,0
7.5,627.199,0.367,1.468,345.015,0
7.6,633.597,0.372,1.488,348.535,0
7.7,640.498,0.377,1.508,352.331,0
7.8,647.837,0.3825,1.53,356.368,0
7.9,653.836,0.387,1.548,359.668,0
8,660.8,0.3925,1.57,363.498,0
8.1,667.028,0.397,1.588,366.924,0
8.2,672.737,0.402,1.608,370.065,0
8.3,679.421,0.4075,1.63,373.742,0
8.4,684.767,0.412,1.648,376.683,0
8.5,690.102,0.4165,1.666,379.617,0
8.6,696.33,0.4215,1.686,383.043,0
8.7,701.588,0.426,1.704,385.935,0
8.8,706.847,0.431,1.724,388.829,0
8.9,713.075,0.436,1.744,392.255,0
9,718.239,0.441,1.764,395.095,0
9.1,724.027,0.446,1.784,398.279,0
9.2,729.794,0.451,1.804,401.452,0
9.3,735.058,0.456,1.824,404.347,0
9.4,740.704,0.461,1.844,407.453,0
9.5,745.937,0.466,1.864,410.331,0
9.6,750.635,0.471,1.884,412.916,0
9.7,756.59,0.4765,1.906,416.192,0
9.8,760.843,0.481,1.924,418.531,0
9.9,765.39,0.486,1.944,421.032,0
10,770.523,0.4905,1.962,423.856,0
10.1,774.14,0.495,1.98,425.845,0
10.2,778.273,0.4995,1.998,428.119,0
10.3,779.425,0.5025,2.01,428.753,0
10.4,783.591,0.507,2.028,431.045,0
10.5,788.884,0.512,2.048,433.956,0
10.6,793.636,0.517,2.068,436.57,0
10.7,797.496,0.522,2.088,438.693,0
10.8,802.096,0.527,2.108,441.224,0
10.9,805.969,0.532,2.128,443.354,0
11,809.885,0.537,2.148,445.509,0
11.1,814.167,0.5425,2.17,447.864,0
11.2,817.288,0.547,2.188,449.581,0
11.3,820.994,0.5525,2.21,451.62,0
11.4,824.736,0.5575,2.23,453.678,0
11.5,827.294,0.562,2.248,455.085,0
11.6,830.661,0.5675,2.27,456.937,0
11.7,833.678,0.572,2.288,458.597,0
11.8,835.997,0.577,2.308,459.873,0
11.9,839.396,0.582,2.328,461.742,0
12,841.807,0.5865,2.346,463.069,0
12.1,844.119,0.5915,2.366,464.34,0
12.2,847.256,0.5965,2.386,466.066,0
12.3,849.452,0.601,2.404,467.274,0
12.4,851.925,0.6065,2.426,468.635,0
12.5,854.644,0.6115,2.446,470.13,0
12.6,856.559,0.6165,2.466,471.183,0
12.7,859.168,0.622,2.488,472.619,0
12.8,861.424,0.627,2.508,473.86,0
12.9,863.052,0.6315,2.526,474.755,0
13,865.531,0.637,2.548,476.119,0
13.1,867.411,0.642,2.568,477.153,0
13.2,868.769,0.647,2.588,477.9,0
13.3,871.239,0.652,2.608,479.259,0
13.4,872.426,0.6565,2.626,479.912,0
13.5,873.835,0.6615,2.646,480.687,0
13.6,875.837,0.6665,2.666,481.788,0
13.7,877.1,0.671,2.684,482.483,0
13.8,878.769,0.676,2.704,483.401,0
13.9,880.596,0.681,2.724,484.406,0
14,882.012,0.6855,2.742,485.185,0
14.1,883.751,0.691,2.764,486.141,0
14.2,885.184,0.696,2.784,486.93,0
14.3,886.253,0.701,2.804,487.518,0
14.4,888.338,0.7065,2.826,488.665,0
14.5,889.475,0.711,2.844,489.29,0
14.6,890.701,0.7165,2.866,489.964,0
14.7,892.538,0.7215,2.886,490.975,0
14.8,893.321,0.7265,2.906,491.406,0
14.9,894.432,0.7315,2.926,492.017,0
15,896.167,0.7365,2.946,492.971,0
15.1,896.677,0.741,2.964,493.252,0
15.2,897.946,0.746,2.984,493.95,0
15.3,899.649,0.751,3.004,494.887,0
15.4,900.369,0.7555,3.022,495.283,0
15.5,901.617,0.7605,3.042,495.969,0
15.6,902.854,0.7655,3.062,496.65,0
15.7,903.866,0.7705,3.082,497.206,0
15.8,905.522,0.7755,3.102,498.117,0
15.9,906.52,0.7805,3.122,498.667,0
16,907.641,0.786,3.144,499.283,0
16.1,909.276,0.791,3.164,500.182,0
16.2,909.801,0.796,3.184,500.471,0
16.3,911.047,0.801,3.204,501.157,0
16.4,912.342,0.806,3.224,501.869,0
16.5,912.71,0.811,3.244,502.071,0
16.6,914.307,0.816,3.264,502.95,0
16.7,915.081,0.821,3.284,503.376,0
16.8,915.454,0.8255,3.302,503.581,0
16.9,916.955,0.8305,3.322,504.407,0
17,917.839,0.835,3.34,504.893,0
17.1,918.604,0.84,3.36,505.313,0
17.2,920.155,0.845,3.38,506.167,0
17.3,920.889,0.85,3.4,506.571,0
17.4,922.056,0.855,3.42,507.213,0
17.5,923.353,0.86,3.44,507.926,0
17.6,923.983,0.865,3.46,508.273,0
17.7,925.264,0.8705,3.482,508.977,0
17.8,926.45,0.8755,3.502,509.63,0
17.9,927.012,0.8805,3.522,509.939,0
18,928.46,0.886,3.544,510.736,0
18.1,929.128,0.8905,3.562,511.103,0
18.2,929.76,0.8955,3.582,511.45,0
18.3,931.251,0.9005,3.602,512.271,0
18.4,931.602,0.905,3.62,512.464,0
18.5,932.25,0.91,3.64,512.82,0
18.6,933.645,0.915,3.66,513.588,0
18.7,934.183,0.9195,3.678,513.883,0
18.8,935.124,0.9245,3.698,514.401,0
18.9,936.481,0.9295,3.718,515.147,0
19,937.275,0.9345,3.738,515.584,0
19.1,938.52,0.94,3.76,516.269,0
19.2,939.517,0.945,3.78,516.817,0
19.3,940.2,0.95,3.8,517.193,0
