[TYPE],,,,,
Mixed CSV,,,,,
[INFOMATION],,,,,
13.8,804.862,0.679,67.9,436.783,0
13.9,807.798,0.6845,68.45,438.376,0
14,811.248,0.6895,68.95,440.249,0
14.1,813.864,0.6945,69.45,441.669,0
14.2,816.982,0.7,70,443.36,0
14.3,819.817,0.7045,70.45,444.899,0
14.4,822.011,0.7095,70.95,446.09,0
14.5,825.116,0.715,71.5,447.775,0
14.6,827.512,0.7195,71.95,449.075,0
14.7,829.738,0.724,72.4,450.283,0
14.8,832.605,0.729,72.9,451.839,0
14.9,834.787,0.734,73.4,453.023,0
15,836.873,0.7385,73.85,454.155,0
15.1,839.772,0.744,74.4,455.728,0
15.2,841.792,0.7485,74.85,456.825,0
15.3,844.224,0.754,75.4,458.144,0
15.4,846.716,0.759,75.9,459.496,0
15.5,848.597,0.764,76.4,460.517,0
15.6,851.145,0.769,76.9,461.9,0
15.7,853.119,0.774,77.4,462.971,0
15.8,854.953,0.779,77.9,463.966,0
15.9,857.289,0.7845,78.45,465.234,0
16,859.125,0.789,78.9,466.231,0
16.1,860.781,0.794,79.4,467.13,0
16.2,862.889,0.799,79.9,468.273,0
16.3,864.171,0.804,80.4,468.969,0
16.4,865.679,0.809,80.9,469.787,0
16.5,867.805,0.814,81.4,470.941,0
16.6,869.1,0.8185,81.85,471.644,0
16.7,870.766,0.8235,82.35,472.548,0
16.8,872.57,0.8285,82.85,473.527,0
16.9,873.86,0.8335,83.35,474.227,0
17,875.755,0.8385,83.85,475.256,0
17.1,877.275,0.8435,84.35,476.081,0
17.2,878.572,0.849,84.9,476.784,0
17.3,880.277,0.854,85.4,477.71,0
17.4,881.587,0.859,85.9,478.42,0
17.5,882.988,0.864,86.4,479.181,0
17.6,884.625,0.869,86.9,480.069,0
17.7,885.43,0.874,87.4,480.506,0
17.8,886.956,0.879,87.9,481.334,0
17.9,888.208,0.884,88.4,482.013,0
18,889.153,0.8885,88.85,482.527,0
18.1,890.775,0.894,89.4,483.406,0
18.2,891.82,0.8985,89.85,483.974,0
18.3,892.92,0.903,90.3,484.57,0
18.4,894.48,0.9085,90.85,485.417,0
18.5,895.534,0.913,91.3,485.989,0
18.6,896.485,0.9185,91.85,486.505,0
18.7,898.156,0.9235,92.35,487.412,0
18.8,899.182,0.9285,92.85,487.969,0
18.9,900.499,0.9335,93.35,488.683,0
19,901.906,0.939,93.9,489.447,0
19.1,902.855,0.9435,94.35,489.962,0
19.2,904.241,0.949,94.9,490.714,0
19.3,905.52,0.954,95.4,491.408,0
19.4,906.104,0.9585,95.85,491.725,0
19.5,907.757,0.964,96.4,492.623,0
19.6,908.691,0.9685,96.85,493.129,0
19.7,909.439,0.9735,97.35,493.535,0
19.8,911.073,0.9785,97.85,494.422,0
19.9,911.974,0.983,98.3,494.911,0
20,912.943,0.988,98.8,495.437,0
20.1,914.443,0.9935,99.35,496.251,0
20.2,915.455,0.998,99.8,496.8,0
20.3,916.625,1.0035,100.35,497.435,0
20.4,918.032,1.0085,100.85,498.198,0
20.5,918.842,1.0135,101.35,498.638,0
20.6,920.267,1.019,101.9,499.411,0
20.7,921.349,1.0235,102.35,499.999,0
20.8,922.249,1.029,102.9,500.487,0
20.9,923.778,1.034,103.4,501.317,0
21,924.531,1.039,103.9,501.726,0
21.1,925.517,1.044,104.4,502.26,0
21.2,927.131,1.049,104.9,503.136,0
21.3,927.598,1.0535,105.35,503.39,0
21.4,928.634,1.0585,105.85,503.952,0
21.5,929.996,1.0635,106.35,504.691,0
21.6,930.791,1.068,106.8,505.122,0
21.7,931.963,1.073,107.3,505.758,0
21.8,933.36,1.078,107.8,506.517,0
21.9,934.127,1.083,108.3,506.933,0
22,935.333,1.0885,108.85,507.587,0
22.1,936.703,1.093,109.3,508.331,0
22.2,937.517,1.0985,109.85,508.772,0
22.3,939.009,1.1035,110.35,509.582,0
22.4,939.872,1.1085,110.85,510.051,0
22.5,940.958,1.1135,111.35,510.64,0
22.6,942.379,1.119,111.9,511.411,0
22.7,942.8,1.1235,112.35,511.64,0
22.8,944.094,1.129,112.9,512.342,0
22.9,945.147,1.1335,113.35,512.913,0
23,945.861,1.1385,113.85,513.301,0
23.1,947.171,1.1435,114.35,514.011,0
23.2,948.081,1.148,114.8,514.506,0
23.3,948.947,1.153,115.3,514.975,0
23.4,950.224,1.158,115.8,515.668,0
23.5,951.28,1.163,116.3,516.241,0
23.6,952.265,1.168,116.8,516.776,0
23.7,953.663,1.1735,117.35,517.534,0
23.8,954.456,1.178,117.8,517.965,0
23.9,955.625,1.1835,118.35,518.6,0
24,956.951,1.1885,118.85,519.319,0
24.1,957.533,1.1935,119.35,519.635,0
24.2,958.692,1.199,119.9,520.264,0
24.3,959.918,1.2035,120.35,520.929,0
24.4,960.532,1.2085,120.85,521.263,0
24.5,961.859,1.214,121.4,521.983,0
24.6,962.775,1.2185,121.85,522.48,0
24.7,962.966,1.2235,122.35,522.583,0
24.8,964.603,1.2285,122.85,523.471,0
24.9,965.557,1.233,123.3,523.989,0
25,966.155,1.238,123.8,524.314,0
25.1,967.448,1.243,124.3,525.016,0
25.2,968.45,1.248,124.8,525.559,0
25.3,969.635,1.253,125.3,526.202,0
25.4,970.719,1.258,125.8,526.791,0
25.5,971.585,1.263,126.3,527.261,0
25.6,972.796,1.2685,126.85,527.918,0
25.7,973.786,1.273,127.3,528.455,0
25.8,974.467,1.2785,127.85,528.825,0
25.9,975.93,1.2835,128.35,529.619,0
26,976.569,1.2885,128.85,529.966,0
26.1,977.27,1.2935,129.35,530.346,0
26.2,978.556,1.2985,129.85,531.044,0
26.3,979.081,1.303,130.3,531.329,0
26.4,980.007,1.308,130.8,531.831,0
26.5,981.3,1.313,131.3,532.533,0
26.6,981.824,1.3175,131.75,532.817,0
