[TYPE],,,,,
Mixed CSV,,,,,
[INFOMATION],,,,,
60.1,1153.973,2.992,299.2,626.239,0
60.2,1154.095,2.9965,299.65,626.305,0
60.3,1154.35,3.002,300.2,626.444,0
60.4,1154.89,3.007,300.7,626.737,0
60.5,1154.675,3.012,301.2,626.62,0
60.6,1155.209,3.0175,301.75,626.91,0
60.7,1155.255,3.0225,302.25,626.935,0
60.8,1155.264,3.0275,302.75,626.94,0
60.9,1155.678,3.0325,303.25,627.165,0
61,1155.587,3.0375,303.75,627.115,0
61.1,1155.64,3.0425,304.25,627.143,0
61.2,1156.239,3.0475,304.75,627.469,0
61.3,1155.975,3.052,305.2,627.325,0
61.4,1156.007,3.057,305.7,627.343,0
61.5,1156.494,3.062,306.2,627.607,0
61.6,1156.21,3.067,306.7,627.453,0
61.7,1156.52,3.072,307.2,627.621,0
61.8,1157.092,3.077,307.7,627.932,0
61.9,1156.787,3.0815,308.15,627.766,0
62,1157.446,3.087,308.7,628.124,0
62.1,1157.751,3.092,309.2,628.289,0
62.2,1157.716,3.097,309.7,628.27,0
62.3,1158.349,3.1025,310.25,628.614,0
62.4,1158.114,3.107,310.7,628.486,0
62.5,1158.271,3.1125,311.25,628.572,0
62.6,1158.675,3.1175,311.75,628.791,0
62.7,1158.306,3.1225,312.25,628.591,0
62.8,1158.728,3.1275,312.75,628.819,0
62.9,1159.007,3.1325,313.25,628.971,0
63,1158.639,3.137,313.7,628.771,0
63.1,1159.017,3.1425,314.25,628.976,0
63.2,1159.189,3.147,314.7,629.07,0
63.3,1159.012,3.152,315.2,628.974,0
63.4,1159.691,3.157,315.7,629.342,0
63.5,1159.662,3.162,316.2,629.327,0
63.6,1159.799,3.167,316.7,629.401,0
63.7,1160.409,3.1725,317.25,629.732,0
63.8,1160.259,3.177,317.7,629.65,0
63.9,1160.374,3.1825,318.25,629.713,0
64,1160.951,3.1875,318.75,630.026,0
64.1,1160.537,3.1925,319.25,629.801,0
64.2,1160.992,3.198,319.8,630.048,0
64.3,1161.403,3.203,320.3,630.271,0
64.4,1160.942,3.208,320.8,630.021,0
64.5,1161.372,3.213,321.3,630.255,0
64.6,1161.27,3.2175,321.75,630.199,0
64.7,1160.926,3.2225,322.25,630.012,0
64.8,1161.696,3.2275,322.75,630.43,0
64.9,1161.425,3.2325,323.25,630.283,0
65,1161.445,3.237,323.7,630.294,0
65.1,1162.272,3.2425,324.25,630.743,0
65.2,1162.191,3.247,324.7,630.699,0
65.3,1162.339,3.2525,325.25,630.779,0
65.4,1163.015,3.2575,325.75,631.146,0
65.5,1162.827,3.2625,326.25,631.044,0
65.6,1163.12,3.2675,326.75,631.203,0
65.7,1163.324,3.2725,327.25,631.313,0
65.8,1162.942,3.2775,327.75,631.106,0
65.9,1163.52,3.283,328.3,631.42,0
66,1163.371,3.2875,328.75,631.339,0
66.1,1163.221,3.293,329.3,631.258,0
66.2,1163.754,3.298,329.8,631.547,0
66.3,1163.529,3.3025,330.25,631.425,0
66.4,1163.496,3.3075,330.75,631.407,0
66.5,1164.037,3.3125,331.25,631.7,0
66.6,1163.739,3.317,331.7,631.539,0
66.7,1163.966,3.3225,332.25,631.662,0
66.8,1164.247,3.327,332.7,631.814,0
66.9,1164.27,3.332,333.2,631.827,0
67,1164.813,3.3375,333.75,632.122,0
67.1,1164.759,3.3425,334.25,632.093,0
67.2,1164.756,3.3475,334.75,632.091,0
67.3,1165.406,3.353,335.3,632.444,0
67.4,1165.242,3.3575,335.75,632.355,0
67.5,1165.129,3.363,336.3,632.293,0
67.6,1165.708,3.368,336.8,632.607,0
67.7,1165.219,3.373,337.3,632.342,0
67.8,1165.508,3.378,337.8,632.499,0
67.9,1165.843,3.383,338.3,632.681,0
68,1165.379,3.3875,338.75,632.429,0
68.1,1165.769,3.393,339.3,632.641,0
68.2,1165.954,3.3975,339.75,632.741,0
68.3,1165.654,3.402,340.2,632.578,0
68.4,1166.114,3.4075,340.75,632.828,0
68.5,1166.01,3.412,341.2,632.772,0
68.6,1166.347,3.417,341.7,632.954,0
68.7,1166.871,3.4225,342.25,633.239,0
68.8,1166.745,3.427,342.7,633.17,0
68.9,1166.805,3.4325,343.25,633.203,0
69,1167.391,3.4375,343.75,633.521,0
69.1,1167.012,3.4425,344.25,633.315,0
69.2,1167.306,3.448,344.8,633.475,0
69.3,1167.504,3.453,345.3,633.582,0
69.4,1167.08,3.4575,345.75,633.352,0
69.5,1167.556,3.463,346.3,633.611,0
69.6,1167.364,3.4675,346.75,633.506,0
69.7,1166.977,3.4725,347.25,633.296,0
69.8,1167.591,3.4775,347.75,633.63,0
69.9,1167.426,3.4825,348.25,633.54,0
70,1167.484,3.487,348.7,633.571,0
70.1,1168.038,3.4925,349.25,633.872,0
70.2,1167.98,3.497,349.7,633.841,0
70.3,1168.098,3.5025,350.25,633.904,0
70.4,1168.488,3.5075,350.75,634.116,0
70.5,1168.422,3.5125,351.25,634.08,0
70.6,1168.897,3.518,351.8,634.338,0
70.7,1168.842,3.523,352.3,634.308,0
70.8,1168.558,3.528,352.8,634.154,0
70.9,1169.067,3.533,353.3,634.431,0
71,1168.859,3.538,353.8,634.317,0
71.1,1168.768,3.543,354.3,634.268,0
71.2,1169.423,3.5485,354.85,634.623,0
71.3,1168.832,3.553,355.3,634.303,0
71.4,1168.708,3.558,355.8,634.236,0
71.5,1169.139,3.563,356.3,634.469,0
71.6,1168.859,3.5675,356.75,634.317,0
71.7,1169.114,3.5725,357.25,634.456,0
71.8,1169.451,3.5775,357.75,634.639,0
71.9,1169.41,3.5825,358.25,634.617,0
72,1169.708,3.5875,358.75,634.778,0
72.1,1169.849,3.5925,359.25,634.855,0
72.2,1169.707,3.5975,359.75,634.777,0
72.3,1170.381,3.603,360.3,635.143,0
72.4,1170.126,3.608,360.8,635.005,0
72.5,1169.981,3.613,361.3,634.926,0
72.6,1170.51,3.618,361.8,635.213,0
72.7,1170.177,3.623,362.3,635.033,0
72.8,1170.423,3.628,362.8,635.166,0
72.9,1170.501,3.633,363.3,635.208,0
73,1170.069,3.6375,363.75,634.974,0
73.1,1170.372,3.643,364.3,635.139,0
73.2,1170.55,3.6475,364.75,635.235,0
73.3,1170.214,3.6525,365.25,635.053,0
73.4,1170.636,3.6575,365.75,635.282,0
73.5,1170.812,3.6625,366.25,635.378,0
73.6,1170.875,3.6675,366.75,635.411,0
73.7,1171.331,3.673,367.3,635.659,0
73.8,1171.151,3.678,367.8,635.561,0
73.9,1171.333,3.683,368.3,635.66,0
74,1171.664,3.688,368.8,635.84,0
74.1,1171.298,3.693,369.3,635.641,0
74.2,1171.524,3.6985,369.85,635.764,0
74.3,1171.657,3.7035,370.35,635.836,0
74.4,1171.216,3.7085,370.85,635.597,0
74.5,1171.797,3.7135,371.35,635.912,0
74.6,1171.512,3.7185,371.85,635.757,0
74.7,1171.139,3.723,372.3,635.555,0
74.8,1171.704,3.7285,372.85,635.862,0
74.9,1171.584,3.733,373.3,635.796,0
75,1171.33,3.738,373.8,635.659,0
75.1,1171.962,3.743,374.3,636.001,0
75.2,1171.941,3.7475,374.75,635.99,0
75.3,1171.903,3.753,375.3,635.969,0
75.4,1172.405,3.758,375.8,636.242,0
75.5,1172.293,3.763,376.3,636.181,0
75.6,1172.537,3.7685,376.85,636.314,0
75.7,1172.501,3.773,377.3,636.294,0
75.8,1172.201,3.7785,377.85,636.131,0
75.9,1172.614,3.7835,378.35,636.355,0
76,1172.356,3.7885,378.85,636.215,0
76.1,1172.305,3.7935,379.35,636.187,0
76.2,1172.739,3.7985,379.85,636.423,0
76.3,1172.136,3.803,380.3,636.096,0
76.4,1172.148,3.8085,380.85,636.102,0
76.5,1172.794,3.813,381.3,636.453,0
76.6,1172.232,3.818,381.8,636.148,0
76.7,1172.356,3.823,382.3,636.215,0
76.8,1172.874,3.828,382.8,636.496,0
76.9,1172.661,3.833,383.3,636.381,0
77,1173.003,3.838,383.8,636.566,0
77.1,1173.239,3.843,384.3,636.694,0
77.2,1173.034,3.8485,384.85,636.583,0
77.3,1173.551,3.8535,385.35,636.863,0
77.4,1173.168,3.8585,385.85,636.656,0
77.5,1173.02,3.864,386.4,636.576,0
77.6,1173.587,3.869,386.9,636.883,0
77.7,1173.059,3.8735,387.35,636.597,0
77.8,1173.247,3.879,387.9,636.698,0
77.9,1173.318,3.884,388.4,636.737,0
78,1172.925,3.8885,388.85,636.524,0
78.1,1173.089,3.8935,389.35,636.613,0
78.2,1173.27,3.8985,389.85,636.711,0
78.3,1172.936,3.903,390.3,636.53,0
78.4,1173.299,3.908,390.8,636.727,0
78.5,1173.36,3.913,391.3,636.76,0
78.6,1173.282,3.918,391.8,636.718,0
78.7,1173.749,3.9235,392.35,636.971,0
78.8,1173.679,3.9285,392.85,636.933,0
78.9,1173.819,3.9335,393.35,637.009,0
79,1174.02,3.9385,393.85,637.118,0
79.1,1173.683,3.9435,394.35,636.935,0
79.2,1173.856,3.949,394.9,637.029,0
79.3,1174.031,3.954,395.4,637.124,0
79.4,1173.397,3.9585,395.85,636.78,0
79.5,1173.804,3.964,396.4,637.001,0
79.6,1173.778,3.9685,396.85,636.987,0
79.7,1173.368,3.9735,397.35,636.764,0
79.8,1173.864,3.9785,397.85,637.034,0
79.9,1173.673,3.9835,398.35,636.93,0
80,1173.558,3.9885,398.85,636.868,0
80.1,1174.2,3.9935,399.35,637.216,0
80.2,1173.9,3.9985,399.85,637.053,0
80.3,1174.023,4.0035,400.35,637.12,0
80.4,1174.307,4.0085,400.85,637.274,0
80.5,1174.142,4.0135,401.35,637.185,0
80.6,1174.521,4.019,401.9,637.39,0
80.7,1174.355,4.024,402.4,637.3,0
80.8,1174.055,4.029,402.9,637.137,0
80.9,1174.551,4.0345,403.45,637.407,0
81,1174.287,4.039,403.9,637.263,0
81.1,1173.95,4.044,404.4,637.08,0
81.2,1174.474,4.0495,404.95,637.364,0
81.3,1173.842,4.054,405.4,637.022,0
81.4,1173.701,4.059,405.9,636.945,0
81.5,1174.106,4.064,406.4,637.165,0
81.6,1173.847,4.0685,406.85,637.024,0
81.7,1173.804,4.0735,407.35,637.001,0
81.8,1174.158,4.0785,407.85,637.193,0
81.9,1174.068,4.0835,408.35,637.144,0
82,1174.416,4.089,408.9,637.333,0
82.1,1174.519,4.0935,409.35,637.389,0
82.2,1174.38,4.099,409.9,637.314,0
82.3,1174.828,4.104,410.4,637.557,0
82.4,1174.411,4.109,410.9,637.33,0
82.5,1174.379,4.114,411.4,637.313,0
82.6,1174.733,4.119,411.9,637.505,0
82.7,1174.121,4.124,412.4,637.173,0
82.8,1174.297,4.129,412.9,637.269,0
82.9,1174.582,4.134,413.4,637.423,0
83,1173.986,4.139,413.9,637.1,0
83.1,1174.193,4.144,414.4,637.212,0
83.2,1174.113,4.149,414.9,637.169,0
83.3,1173.768,4.1535,415.35,636.982,0
83.4,1174.27,4.159,415.9,637.254,0
83.5,1174.27,4.1635,416.35,637.254,0
83.6,1174.03,4.1685,416.85,637.123,0
83.7,1174.703,4.174,417.4,637.489,0
83.8,1174.475,4.179,417.9,637.365,0
83.9,1174.477,4.184,418.4,637.366,0
84,1174.764,4.189,418.9,637.522,0
84.1,1174.387,4.194,419.4,637.318,0
84.2,1174.655,4.1995,419.95,637.463,0
84.3,1174.527,4.2045,420.45,637.394,0
84.4,1174.033,4.209,420.9,637.125,0
84.5,1174.357,4.2145,421.45,637.301,0
84.6,1174.317,4.219,421.9,637.28,0
84.7,1173.698,4.224,422.4,636.944,0
84.8,1174.125,4.229,422.9,637.175,0
84.9,1173.933,4.2335,423.35,637.071,0
85,1173.637,4.2385,423.85,636.91,0
85.1,1174.161,4.2435,424.35,637.195,0
85.2,1174.066,4.2485,424.85,637.143,0
85.3,1174.238,4.2535,425.35,637.237,0
85.4,1174.517,4.259,425.9,637.388,0
85.5,1174.281,4.2635,426.35,637.26,0
85.6,1174.477,4.269,426.9,637.366,0
85.7,1174.429,4.274,427.4,637.34,0
85.8,1174.137,4.279,427.9,637.182,0
85.9,1174.467,4.2845,428.45,637.361,0
86,1174.221,4.289,428.9,637.227,0
86.1,1174.028,4.2945,429.45,637.123,0
86.2,1174.34,4.2995,429.95,637.292,0
86.3,1173.916,4.304,430.4,637.062,0
86.4,1173.663,4.309,430.9,636.925,0
86.5,1174.142,4.314,431.4,637.185,0
86.6,1173.581,4.3185,431.85,636.88,0
86.7,1173.677,4.324,432.4,636.932,0
86.8,1174.037,4.329,432.9,637.128,0
86.9,1173.663,4.3335,433.35,636.925,0
87,1174.03,4.339,433.9,637.123,0
87.1,1174.165,4.344,434.4,637.197,0
87.2,1173.862,4.349,434.9,637.032,0
87.3,1174.231,4.3545,435.45,637.233,0
87.4,1173.847,4.359,435.9,637.024,0
87.5,1173.757,4.3645,436.45,636.975,0
87.6,1174.036,4.3695,436.95,637.127,0
87.7,1173.444,4.3745,437.45,636.806,0
87.8,1173.584,4.3795,437.95,636.882,0
87.9,1173.664,4.3845,438.45,636.925,0
88,1172.984,4.389,438.9,636.556,0
88.1,1173.18,4.394,439.4,636.663,0
88.2,1173.253,4.399,439.9,636.702,0
88.3,1172.935,4.4035,440.35,636.529,0
88.4,1173.353,4.409,440.9,636.756,0
88.5,1173.32,4.4135,441.35,636.739,0
88.6,1173.081,4.4185,441.85,636.609,0
88.7,1173.634,4.424,442.4,636.909,0
88.8,1173.232,4.429,442.9,636.69,0
88.9,1173.05,4.434,443.4,636.592,0
89,1173.354,4.439,443.9,636.757,0
89.1,1173.153,4.444,444.4,636.648,0
89.2,1173.447,4.4495,444.95,636.807,0
89.3,1173.13,4.4545,445.45,636.635,0
89.4,1172.465,4.459,445.9,636.274,0
89.5,1172.998,4.4645,446.45,636.563,0
89.6,1172.65,4.469,446.9,636.375,0
89.7,1172.198,4.474,447.4,636.13,0
89.8,1172.537,4.479,447.9,636.314,0
89.9,1172.466,4.484,448.4,636.275,0
90,1172.116,4.489,448.9,636.085,0
90.1,1172.585,4.494,449.4,636.339,0
90.2,1172.375,4.499,449.9,636.225,0
90.3,1172.534,4.504,450.4,636.312,0
90.4,1172.721,4.509,450.9,636.413,0
90.5,1172.248,4.514,451.4,636.157,0
90.6,1172.432,4.5195,451.95,636.257,0
90.7,1172.291,4.5245,452.45,636.18,0
90.8,1171.951,4.5295,452.95,635.995,0
90.9,1172.401,4.535,453.5,636.24,0
91,1171.913,4.5395,453.95,635.975,0
91.1,1171.592,4.5445,454.45,635.8,0
91.2,1171.879,4.5495,454.95,635.957,0
91.3,1171.38,4.554,455.4,635.686,0
91.4,1170.978,4.559,455.9,635.467,0
91.5,1171.27,4.5635,456.35,635.626,0
91.6,1170.927,4.568,456.8,635.44,0
91.7,1170.79,4.573,457.3,635.365,0
91.8,1171.018,4.578,457.8,635.489,0
91.9,1170.91,4.583,458.3,635.43,0
92,1171.487,4.588,458.8,635.743,0
92.1,1171.315,4.593,459.3,635.65,0
92.2,1170.73,4.598,459.8,635.333,0
92.3,1170.989,4.603,460.3,635.473,0
92.4,1170.66,4.6075,460.75,635.295,0
92.5,1170.644,4.613,461.3,635.286,0
92.6,1171.065,4.618,461.8,635.515,0
92.7,1170.435,4.623,462.3,635.173,0
92.8,1170.418,4.628,462.8,635.164,0
92.9,1170.762,4.633,463.3,635.35,0
93,1169.865,4.6375,463.75,634.864,0
93.1,1170.059,4.6425,464.25,634.969,0
93.2,1170.086,4.6475,464.75,634.983,0
93.3,1169.567,4.652,465.2,634.701,0
93.4,1169.892,4.657,465.7,634.878,0
93.5,1169.888,4.662,466.2,634.876,0
93.6,1169.585,4.667,466.7,634.712,0
93.7,1169.971,4.6725,467.25,634.921,0
93.8,1169.663,4.6775,467.75,634.754,0
93.9,1169.557,4.6825,468.25,634.696,0
94,1169.873,4.6875,468.75,634.868,0
94.1,1169.12,4.6925,469.25,634.459,0
94.2,1169.293,4.698,469.8,634.553,0
94.3,1169.121,4.703,470.3,634.46,0
94.4,1168.441,4.7075,470.75,634.09,0
94.5,1168.976,4.713,471.3,634.381,0
94.6,1168.596,4.7175,471.75,634.175,0
94.7,1167.888,4.7225,472.25,633.79,0
94.8,1168.463,4.7275,472.75,634.103,0
94.9,1167.952,4.732,473.2,633.825,0
95,1167.616,4.737,473.7,633.643,0
95.1,1168.02,4.742,474.2,633.862,0
95.2,1167.77,4.747,474.7,633.727,0
95.3,1167.837,4.752,475.2,633.763,0
95.4,1167.734,4.7575,475.75,633.707,0
95.5,1167.495,4.7625,476.25,633.577,0
95.6,1167.551,4.7675,476.75,633.608,0
95.7,1167.285,4.7725,477.25,633.463,0
95.8,1166.816,4.7775,477.75,633.209,0
95.9,1167.217,4.783,478.3,633.427,0
96,1166.691,4.7875,478.75,633.141,0
96.1,1166.383,4.793,479.3,632.974,0
96.2,1166.732,4.798,479.8,633.163,0
96.3,1165.929,4.8025,480.25,632.727,0
96.4,1165.73,4.8075,480.75,632.619,0
96.5,1165.935,4.8125,481.25,632.731,0
96.6,1165.317,4.817,481.7,632.395,0
96.7,1165.406,4.8225,482.25,632.444,0
96.8,1165.441,4.827,482.7,632.463,0
96.9,1165.008,4.832,483.2,632.228,0
97,1165.225,4.8375,483.75,632.345,0
97.1,1165.06,4.8425,484.25,632.256,0
97.2,1164.659,4.8475,484.75,632.038,0
97.3,1165.116,4.853,485.3,632.286,0
97.4,1164.488,4.858,485.8,631.945,0
97.5,1164.175,4.863,486.3,631.776,0
97.6,1164.384,4.8685,486.85,631.889,0
97.7,1163.753,4.873,487.3,631.546,0
97.8,1163.729,4.8785,487.85,631.533,0
97.9,1163.696,4.883,488.3,631.516,0
98,1162.903,4.8875,488.75,631.085,0
98.1,1163.06,4.893,489.3,631.17,0
98.2,1162.811,4.8975,489.75,631.035,0
98.3,1162.342,4.9025,490.25,630.781,0
98.4,1162.397,4.9075,490.75,630.81,0
98.5,1162.287,4.9125,491.25,630.751,0
98.6,1161.981,4.9175,491.75,630.585,0
98.7,1162.272,4.923,492.3,630.743,0
98.8,1161.819,4.9275,492.75,630.497,0
98.9,1161.712,4.933,493.3,630.439,0
99,1161.661,4.938,493.8,630.411,0
99.1,1161.009,4.943,494.3,630.058,0
99.2,1161.24,4.9485,494.85,630.183,0
99.3,1160.877,4.953,495.3,629.986,0
99.4,1160.164,4.958,495.8,629.599,0
99.5,1160.422,4.9635,496.35,629.739,0
99.6,1159.945,4.968,496.8,629.48,0
99.7,1159.377,4.973,497.3,629.172,0
99.8,1159.57,4.978,497.8,629.276,0
99.9,1159.231,4.9825,498.25,629.092,0
100,1158.698,4.9875,498.75,628.803,0
100.1,1159.042,4.9925,499.25,628.99,0
100.2,1158.563,4.9975,499.75,628.73,0
100.3,1158.523,5.003,500.3,628.708,0
100.4,1158.582,5.008,500.8,628.74,0
100.5,1157.927,5.013,501.3,628.385,0
100.6,1158.121,5.0185,501.85,628.49,0
100.7,1157.766,5.023,502.3,628.297,0
100.8,1157.02,5.028,502.8,627.893,0
100.9,1157.223,5.0335,503.35,628.003,0
101,1156.691,5.038,503.8,627.714,0
101.1,1156.154,5.0435,504.35,627.422,0
101.2,1156.425,5.0485,504.85,627.57,0
101.3,1155.538,5.053,505.3,627.089,0
101.4,1155.142,5.058,505.8,626.873,0
101.5,1155.412,5.063,506.3,627.02,0
101.6,1154.78,5.0675,506.75,626.677,0
101.7,1154.531,5.073,507.3,626.542,0
101.8,1154.357,5.0775,507.75,626.448,0
101.9,1154.116,5.0825,508.25,626.317,0
102,1154.36,5.088,508.8,626.449,0
102.1,1154.02,5.093,509.3,626.264,0
102.2,1153.442,5.098,509.8,625.951,0
102.3,1153.667,5.103,510.3,626.073,0
102.4,1152.905,5.108,510.8,625.66,0
102.5,1152.581,5.1135,511.35,625.484,0
102.6,1152.765,5.1185,511.85,625.584,0
102.7,1151.939,5.123,512.3,625.136,0
102.8,1151.687,5.1285,512.85,624.998,0
102.9,1151.5,5.1335,513.35,624.897,0
103,1150.745,5.138,513.8,624.487,0
103.1,1150.577,5.143,514.3,624.396,0
103.2,1150.462,5.148,514.8,624.334,0
103.3,1149.819,5.153,515.3,623.985,0
103.4,1149.873,5.158,515.8,624.014,0
103.5,1149.573,5.163,516.3,623.851,0
103.6,1149.163,5.168,516.8,623.629,0
103.7,1149.25,5.173,517.3,623.676,0
103.8,1148.695,5.178,517.8,623.375,0
103.9,1148.388,5.1835,518.35,623.208,0
104,1148.505,5.1885,518.85,623.272,0
104.1,1147.68,5.1935,519.35,622.824,0
104.2,1147.509,5.199,519.9,622.731,0
104.3,1147.214,5.2035,520.35,622.571,0
104.4,1146.263,5.2085,520.85,622.055,0
104.5,1146.394,5.214,521.4,622.126,0
104.6,1145.872,5.2185,521.85,621.843,0
104.7,1145.055,5.2235,522.35,621.399,0
104.8,1145.191,5.2285,522.85,621.473,0
104.9,1144.696,5.233,523.3,621.205,0
105,1144.103,5.238,523.8,620.883,0
105.1,1144.178,5.243,524.3,620.924,0
105.2,1143.671,5.248,524.8,620.649,0
105.3,1143.402,5.253,525.3,620.503,0
105.4,1143.424,5.2585,525.85,620.514,0
105.5,1142.733,5.263,526.3,620.139,0
105.6,1142.47,5.2685,526.85,619.997,0
105.7,1142.139,5.2735,527.35,619.817,0
105.8,1141.411,5.2785,527.85,619.422,0
105.9,1141.457,5.284,528.4,619.447,0
106,1140.837,5.2885,528.85,619.11,0
106.1,1140.221,5.294,529.4,618.776,0
106.2,1140.261,5.299,529.9,618.798,0
106.3,1139.355,5.3035,530.35,618.306,0
106.4,1138.719,5.3085,530.85,617.961,0
106.5,1138.792,5.3135,531.35,618.001,0
106.6,1138.065,5.318,531.8,617.606,0
106.7,1137.886,5.323,532.3,617.509,0
106.8,1137.856,5.328,532.8,617.493,0
106.9,1137.069,5.333,533.3,617.066,0
107,1137.027,5.3385,533.85,617.043,0
107.1,1136.623,5.3435,534.35,616.823,0
107.2,1136.042,5.3485,534.85,616.508,0
107.3,1135.997,5.354,535.4,616.484,0
107.4,1135.246,5.3585,535.85,616.076,0
107.5,1134.8,5.364,536.4,615.834,0
107.6,1134.716,5.369,536.9,615.789,0
107.7,1133.567,5.374,537.4,615.165,0
107.8,1133.407,5.379,537.9,615.078,0
107.9,1133.11,5.384,538.4,614.917,0
108,1132.046,5.3885,538.85,614.34,0
108.1,1131.814,5.3935,539.35,614.214,0
108.2,1131.526,5.3985,539.85,614.057,0
108.3,1130.906,5.403,540.3,613.721,0
108.4,1130.602,5.4085,540.85,613.556,0
108.5,1130.371,5.413,541.3,613.431,0
108.6,1129.784,5.418,541.8,613.112,0
108.7,1129.708,5.4235,542.35,613.071,0
108.8,1129.055,5.4285,542.85,612.717,0
108.9,1128.515,5.4335,543.35,612.423,0
109,1128.52,5.439,543.9,612.426,0
109.1,1127.653,5.4435,544.35,611.956,0
109.2,1127.319,5.449,544.9,611.774,0
109.3,1126.766,5.454,545.4,611.474,0
109.4,1125.719,5.459,545.9,610.906,0
109.5,1125.797,5.464,546.4,610.948,0
109.6,1125.117,5.4685,546.85,610.58,0
109.7,1124.11,5.4735,547.35,610.033,0
109.8,1124.213,5.479,547.9,610.089,0
109.9,1123.551,5.4835,548.35,609.73,0
110,1122.707,5.488,548.8,609.272,0
110.1,1122.913,5.4935,549.35,609.384,0
110.2,1122.324,5.498,549.8,609.064,0
110.3,1121.705,5.5035,550.35,608.728,0
110.4,1121.427,5.5085,550.85,608.577,0
110.5,1120.754,5.5135,551.35,608.212,0
110.6,1120.507,5.519,551.9,608.078,0
110.7,1120,5.524,552.4,607.803,0
110.8,1119.255,5.529,552.9,607.398,0
110.9,1119.084,5.534,553.4,607.306,0
111,1117.999,5.539,553.9,606.717,0
111.1,1117.435,5.544,554.4,606.41,0
111.2,1117.367,5.549,554.9,606.374,0
111.3,1116.051,5.5535,555.35,605.66,0
111.4,1115.65,5.559,555.9,605.442,0
111.5,1115.428,5.5635,556.35,605.322,0
111.6,1114.566,5.5685,556.85,604.854,0
111.7,1114.157,5.5735,557.35,604.632,0
111.8,1113.846,5.5785,557.85,604.463,0
111.9,1113.15,5.583,558.3,604.085,0
112,1112.918,5.5885,558.85,603.959,0
112.1,1112.454,5.5935,559.35,603.707,0
112.2,1111.674,5.5985,559.85,603.284,0
112.3,1111.588,5.604,560.4,603.238,0
112.4,1110.514,5.6085,560.85,602.655,0
112.5,1109.853,5.614,561.4,602.296,0
112.6,1109.641,5.619,561.9,602.181,0
112.7,1108.435,5.6235,562.35,601.526,0
112.8,1108.084,5.629,562.9,601.336,0
112.9,1107.735,5.634,563.4,601.147,0
113,1106.498,5.6385,563.85,600.476,0
113.1,1106.192,5.6435,564.35,600.309,0
113.2,1105.833,5.6485,564.85,600.114,0
113.3,1104.837,5.653,565.3,599.574,0
113.4,1104.642,5.6585,565.85,599.468,0
113.5,1104.152,5.663,566.3,599.202,0
113.6,1103.336,5.668,566.8,598.759,0
113.7,1103.102,5.6735,567.35,598.633,0
113.8,1102.259,5.6785,567.85,598.175,0
113.9,1101.616,5.6835,568.35,597.826,0
114,1101.34,5.689,568.9,597.676,0
114.1,1100.104,5.6935,569.35,597.005,0
114.2,1099.894,5.699,569.9,596.891,0
114.3,1099.151,5.704,570.4,596.488,0
114.4,1098.194,5.709,570.9,595.969,0
114.5,1097.918,5.714,571.4,595.819,0
114.6,1096.947,5.719,571.9,595.292,0
114.7,1096.001,5.7235,572.35,594.779,0
114.8,1095.791,5.7285,572.85,594.665,0
114.9,1094.718,5.733,573.3,594.082,0
115,1094.177,5.738,573.8,593.789,0
115.1,1093.945,5.743,574.3,593.663,0
115.2,1093.268,5.748,574.8,593.296,0
115.3,1092.69,5.753,575.3,592.982,0
115.4,1092.097,5.7585,575.85,592.66,0
115.5,1091.192,5.763,576.3,592.169,0
115.6,1090.911,5.7685,576.85,592.017,0
115.7,1090.122,5.7735,577.35,591.588,0
115.8,1088.911,5.7785,577.85,590.931,0
115.9,1088.86,5.784,578.4,590.904,0
116,1087.672,5.7885,578.85,590.259,0
116.1,1086.852,5.7935,579.35,589.814,0
116.2,1086.675,5.799,579.9,589.718,0
116.3,1085.386,5.8035,580.35,589.018,0
116.4,1084.632,5.8085,580.85,588.609,0
116.5,1084.401,5.8135,581.35,588.484,0
116.6,1083.235,5.818,581.8,587.851,0
116.7,1082.871,5.823,582.3,587.653,0
116.8,1082.266,5.828,582.8,587.325,0
116.9,1081.206,5.833,583.3,586.75,0
117,1080.99,5.8385,583.85,586.632,0
117.1,1080.182,5.843,584.3,586.194,0
117.2,1079.23,5.8485,584.85,585.677,0
117.3,1078.903,5.8535,585.35,585.5,0
117.4,1077.736,5.8585,585.85,584.867,0
117.5,1076.938,5.864,586.4,584.434,0
117.6,1076.592,5.869,586.9,584.246,0
117.7,1075.141,5.8735,587.35,583.458,0
117.8,1074.569,5.879,587.9,583.148,0
117.9,1074.026,5.8835,588.35,582.853,0
118,1072.789,5.8885,588.85,582.182,0
118.1,1072.309,5.8935,589.35,581.921,0
118.2,1071.506,5.898,589.8,581.486,0
118.3,1070.439,5.903,590.3,580.907,0
118.4,1070.036,5.908,590.8,580.688,0
118.5,1069.29,5.913,591.3,580.283,0
118.6,1068.544,5.918,591.8,579.878,0
118.7,1068.137,5.923,592.3,579.658,0
118.8,1066.92,5.928,592.8,578.997,0
118.9,1066.182,5.9335,593.35,578.597,0
119,1065.63,5.9385,593.85,578.297,0
119.1,1064.393,5.9435,594.35,577.626,0
119.2,1063.818,5.949,594.9,577.314,0
119.3,1063.047,5.9535,595.35,576.896,0
119.4,1061.865,5.9585,595.85,576.254,0
119.5,1061.341,5.964,596.4,575.97,0
119.6,1060.183,5.9685,596.85,575.341,0
119.7,1059.045,5.9735,597.35,574.723,0
119.8,1058.662,5.9785,597.85,574.516,0
119.9,1057.77,5.983,598.3,574.032,0
120,1056.709,5.988,598.8,573.456,0
