[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.77 / 6.06
8,Gage length [mm],25
9,Area,16.7862
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,0.268,0.0025,0.01,0.156,0
0.2,3.74,0.0075,0.03,2.184,0
0.3,11.068,0.0125,0.05,6.462,0
0.4,18.778,0.017,0.068,10.963,0
0.5,26.735,0.0225,0.09,15.609,0
0.6,33.943,0.027,0.108,19.818,0
0.7,39.463,0.0315,0.126,23.041,0
0.8,44.976,0.0365,0.146,26.259,0
0.9,49.803,0.041,0.164,29.077,0
1,53.997,0.046,0.184,31.526,0
1.1,58.045,0.051,0.204,33.889,0
1.2,61.593,0.056,0.224,35.961,0
1.3,64.988,0.061,0.244,37.943,0
1.4,68.294,0.0665,0.266,39.873,0
1.5,71.197,0.071,0.284,41.569,0
1.6,74.077,0.0765,0.306,43.25,0
1.7,76.926,0.0815,0.326,44.913,0
1.8,79.571,0.0865,0.346,46.457,0
1.9,82.241,0.092,0.368,48.016,0
2,85.034,0.0965,0.386,49.647,0
2.1,87.512,0.1015,0.406,51.094,0
2.2,90.23,0.1065,0.426,52.681,0
2.3,92.511,0.111,0.444,54.012,0
2.4,94.835,0.116,0.464,55.369,0
2.5,97.509,0.121,0.484,56.931,0
2.6,99.663,0.1255,0.502,58.188,0
2.7,102.061,0.1305,0.522,59.588,0
2.8,104.799,0.1355,0.542,61.187,0
2.9,107.231,0.14,0.56,62.607,0
3,109.878,0.1455,0.582,64.152,0
3.1,112.381,0.1505,0.602,65.613,0
3.2,114.966,0.1555,0.622,67.123,0
3.3,117.699,0.161,0.644,68.719,0
3.4,120.269,0.1655,0.662,70.219,0
3.5,122.734,0.171,0.684,71.658,0
3.6,125.458,0.176,0.704,73.249,0
3.7,127.896,0.1805,0.722,74.672,0
3.8,130.484,0.1855,0.742,76.183,0
3.9,133.005,0.1905,0.762,77.655,0
4,135.218,0.195,0.78,78.947,0
4.1,137.857,0.2,0.8,80.488,0
4.2,140.161,0.205,0.82,81.833,0
4.3,142.52,0.2095,0.838,83.21,0
4.4,145.306,0.2145,0.858,84.837,0
4.5,147.767,0.2195,0.878,86.274,0
4.6,150.345,0.224,0.896,87.779,0
4.7,153.229,0.2295,0.918,89.462,0
4.8,155.844,0.2345,0.938,90.989,0
4.9,158.395,0.2395,0.958,92.478,0
5,161.323,0.245,0.98,94.188,0
5.1,163.628,0.2495,0.998,95.534,0
5.2,166.405,0.255,1.02,97.155,0
5.3,169.091,0.2595,1.038,98.723,0
5.4,171.178,0.2645,1.058,99.942,0
5.5,173.954,0.2695,1.078,101.563,0
5.6,176.358,0.274,1.096,102.966,0
5.7,178.557,0.279,1.116,104.25,0
5.8,181.333,0.284,1.136,105.871,0
5.9,183.771,0.2885,1.154,107.294,0
6,186.21,0.293,1.172,108.718,0
6.1,188.966,0.2985,1.194,110.327,0
6.2,191.532,0.303,1.212,111.826,0
6.3,194.273,0.308,1.232,113.426,0
6.4,197.256,0.313,1.252,115.168,0
6.5,199.773,0.318,1.272,116.637,0
6.6,202.86,0.3235,1.294,118.44,0
6.7,205.793,0.3285,1.314,120.152,0
6.8,208.082,0.3335,1.334,121.489,0
6.9,211.363,0.339,1.356,123.404,0
7,213.776,0.3435,1.374,124.813,0
7.1,216.484,0.3485,1.394,126.394,0
7.2,219.672,0.3535,1.414,128.255,0
7.3,221.937,0.358,1.432,129.578,0
7.4,224.768,0.363,1.452,131.23,0
7.5,227.697,0.368,1.472,132.941,0
7.6,230.375,0.3725,1.49,134.504,0
7.7,232.923,0.3775,1.51,135.992,0
7.8,235.98,0.3825,1.53,137.777,0
7.9,238.751,0.387,1.548,139.394,0
8,241.788,0.3925,1.57,141.168,0
8.1,244.91,0.3975,1.59,142.99,0
8.2,247.628,0.4025,1.61,144.577,0
8.3,250.919,0.408,1.632,146.499,0
8.4,253.717,0.4125,1.65,148.133,0
8.5,256.427,0.418,1.672,149.714,0
8.6,259.955,0.423,1.692,151.775,0
8.7,262.169,0.4275,1.71,153.067,0
8.8,265.205,0.433,1.732,154.84,0
8.9,268.245,0.4375,1.75,156.614,0
9,270.782,0.442,1.768,158.095,0
9.1,273.842,0.4475,1.79,159.883,0
9.2,276.907,0.452,1.808,161.672,0
9.3,279.494,0.4565,1.826,163.182,0
9.4,282.869,0.462,1.848,165.152,0
9.5,285.989,0.4665,1.866,166.975,0
9.6,288.988,0.4715,1.886,168.725,0
9.7,292.456,0.477,1.908,170.75,0
9.8,295.458,0.4815,1.926,172.503,0
9.9,298.576,0.487,1.948,174.323,0
10,302.11,0.492,1.968,176.387,0
10.1,305.118,0.497,1.988,178.142,0
10.2,308.46,0.5025,2.01,180.094,0
10.3,312.059,0.507,2.028,182.195,0
10.4,314.539,0.512,2.048,183.643,0
10.5,318.213,0.517,2.068,185.788,0
10.6,321.043,0.522,2.088,187.441,0
10.7,323.65,0.5265,2.106,188.963,0
10.8,327.055,0.5315,2.126,190.951,0
10.9,330.067,0.536,2.144,192.709,0
11,332.816,0.541,2.164,194.314,0
11.1,336.379,0.546,2.184,196.394,0
11.2,339.486,0.551,2.204,198.208,0
11.3,342.569,0.556,2.224,200.009,0
11.4,346.293,0.561,2.244,202.183,0
11.5,349.332,0.566,2.264,203.957,0
11.6,352.756,0.5715,2.286,205.956,0
11.7,356.264,0.5765,2.306,208.004,0
11.8,359.328,0.5815,2.326,209.793,0
11.9,363.117,0.587,2.348,212.005,0
12,366.223,0.5915,2.366,213.819,0
12.1,369.221,0.5965,2.386,215.569,0
12.2,372.966,0.6015,2.406,217.756,0
12.3,375.722,0.606,2.424,219.365,0
12.4,378.748,0.611,2.444,221.131,0
12.5,382.458,0.616,2.464,223.298,0
12.6,385.181,0.6205,2.482,224.887,0
12.7,388.371,0.6255,2.502,226.75,0
12.8,392.046,0.6305,2.522,228.895,0
12.9,395.058,0.635,2.54,230.654,0
13,398.568,0.6405,2.562,232.703,0
13.1,402.041,0.6455,2.582,234.731,0
13.2,405.207,0.6505,2.602,236.58,0
13.3,409.159,0.656,2.624,238.887,0
13.4,412.182,0.661,2.644,240.652,0
13.5,415.303,0.666,2.664,242.474,0
13.6,418.494,0.6705,2.682,244.337,0
13.7,420.494,0.6745,2.698,245.505,0
13.8,423.766,0.6795,2.718,247.415,0
13.9,427.161,0.684,2.736,249.397,0
14,429.839,0.6885,2.754,250.961,0
14.1,433.507,0.6935,2.774,253.102,0
14.2,436.923,0.698,2.792,255.097,0
14.3,439.708,0.703,2.812,256.723,0
14.4,442.923,0.708,2.832,258.6,0
14.5,446.572,0.713,2.852,260.73,0
14.6,449.7,0.718,2.872,262.557,0
14.7,453.495,0.723,2.892,264.773,0
14.8,456.705,0.728,2.912,266.647,0
14.9,460.18,0.733,2.932,268.675,0
15,463.719,0.7385,2.954,270.741,0
15.1,466.806,0.743,2.972,272.544,0
15.2,470.343,0.7485,2.994,274.609,0
15.3,473.927,0.7535,3.014,276.702,0
15.4,476.535,0.7585,3.034,278.224,0
15.5,480.215,0.7635,3.054,280.373,0
15.6,482.988,0.7685,3.074,281.992,0
15.7,485.762,0.773,3.092,283.612,0
15.8,489.345,0.778,3.112,285.703,0
15.9,492.369,0.7825,3.13,287.469,0
16,495.228,0.7875,3.15,289.138,0
16.1,498.779,0.7925,3.17,291.211,0
16.2,501.831,0.7975,3.19,292.993,0
16.3,505.36,0.8025,3.21,295.053,0
16.4,508.812,0.8075,3.23,297.069,0
16.5,511.89,0.8125,3.25,298.866,0
16.6,515.426,0.818,3.272,300.931,0
16.7,519.05,0.823,3.292,303.047,0
16.8,521.903,0.828,3.312,304.713,0
16.9,525.588,0.833,3.332,306.864,0
17,528.478,0.838,3.352,308.551,0
17.1,531.093,0.843,3.372,310.078,0
17.2,534.939,0.848,3.392,312.323,0
17.3,537.544,0.8525,3.41,313.844,0
17.4,540.387,0.8575,3.43,315.504,0
17.5,543.93,0.8625,3.45,317.573,0
17.6,546.383,0.867,3.468,319.005,0
17.7,549.754,0.872,3.488,320.973,0
17.8,553.342,0.877,3.508,323.068,0
17.9,556.112,0.882,3.528,324.685,0
18,559.497,0.887,3.548,326.661,0
18.1,562.968,0.892,3.568,328.688,0
18.2,566.012,0.897,3.588,330.466,0
18.3,569.957,0.9025,3.61,332.769,0
18.4,572.823,0.9075,3.63,334.442,0
18.5,575.907,0.913,3.652,336.242,0
18.6,579.622,0.918,3.672,338.411,0
18.7,582.213,0.9225,3.69,339.924,0
18.8,585.357,0.928,3.712,341.76,0
18.9,588.702,0.9325,3.73,343.713,0
19,591.139,0.937,3.748,345.136,0
19.1,594.344,0.9425,3.77,347.007,0
19.2,597.641,0.947,3.788,348.932,0
19.3,600.236,0.9515,3.806,350.447,0
19.4,603.549,0.957,3.828,352.381,0
19.5,606.61,0.9615,3.846,354.168,0
19.6,609.676,0.9665,3.866,355.958,0
19.7,613.25,0.972,3.888,358.045,0
19.8,616.358,0.9765,3.906,359.86,0
19.9,619.484,0.982,3.928,361.685,0
20,623.125,0.987,3.948,363.811,0
20.1,625.677,0.992,3.968,365.301,0
20.2,628.875,0.9975,3.99,367.168,0
20.3,632.359,1.0025,4.01,369.202,0
20.4,634.656,1.007,4.028,370.543,0
20.5,638.084,1.0125,4.05,372.545,0
20.6,640.909,1.017,4.068,374.194,0
20.7,643.268,1.0215,4.086,375.571,0
20.8,646.625,1.027,4.108,377.531,0
20.9,649.267,1.0315,4.126,379.074,0
21,651.852,1.036,4.144,380.583,0
21.1,655.307,1.0415,4.166,382.6,0
21.2,658.21,1.046,4.184,384.295,0
21.3,661.177,1.0515,4.206,386.028,0
21.4,664.488,1.0565,4.226,387.961,0
21.5,667.333,1.0615,4.246,389.621,0
