[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.94 / 6.07
8,Gage length [mm],25
9,Area,17.8458
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,-0.263,0,0,-0.144,0
0.2,1.167,0.003,0.012,0.641,0
0.3,6.393,0.0075,0.03,3.511,0
0.4,15.035,0.0125,0.05,8.257,0
0.5,24.987,0.018,0.072,13.722,0
0.6,34.535,0.0225,0.09,18.966,0
0.7,44.109,0.028,0.112,24.224,0
0.8,53.409,0.033,0.132,29.331,0
0.9,61.267,0.038,0.152,33.647,0
1,69.868,0.0435,0.174,38.37,0
1.1,78.267,0.048,0.192,42.983,0
1.2,86.275,0.053,0.212,47.381,0
1.3,95.174,0.058,0.232,52.268,0
1.4,103.802,0.0625,0.25,57.006,0
1.5,111.958,0.0675,0.27,61.485,0
1.6,121.06,0.072,0.288,66.484,0
1.7,129.647,0.077,0.308,71.2,0
1.8,138.101,0.082,0.328,75.843,0
1.9,147.612,0.087,0.348,81.066,0
2,156.84,0.0915,0.366,86.134,0
2.1,165.969,0.097,0.388,91.147,0
2.2,175.878,0.102,0.408,96.589,0
2.3,184.823,0.1065,0.426,101.501,0
2.4,194.264,0.112,0.448,106.686,0
2.5,203.337,0.117,0.468,111.669,0
2.6,211.944,0.122,0.488,116.396,0
2.7,221.619,0.127,0.508,121.709,0
2.8,229.866,0.132,0.528,126.238,0
2.9,238.175,0.137,0.548,130.802,0
3,247.431,0.142,0.568,135.885,0
3.1,255.191,0.146,0.584,140.146,0
3.2,263.304,0.151,0.604,144.602,0
3.3,272.1,0.156,0.624,149.433,0
3.4,279.754,0.1605,0.642,153.636,0
3.5,287.838,0.1655,0.662,158.076,0
3.6,296.633,0.17,0.68,162.906,0
3.7,304.572,0.175,0.7,167.266,0
3.8,313.336,0.18,0.72,172.078,0
3.9,322.229,0.185,0.74,176.963,0
4,330.654,0.19,0.76,181.589,0
4.1,339.636,0.1955,0.782,186.522,0
4.2,347.921,0.2,0.8,191.072,0
4.3,355.999,0.2055,0.822,195.508,0
4.4,364.925,0.2105,0.842,200.41,0
4.5,372.216,0.215,0.86,204.414,0
4.6,380.309,0.2205,0.882,208.859,0
4.7,388.591,0.225,0.9,213.407,0
4.8,395.717,0.2295,0.918,217.321,0
4.9,403.414,0.2345,0.938,221.548,0
5,411.383,0.239,0.956,225.924,0
5.1,418.63,0.244,0.976,229.904,0
5.2,426.686,0.249,0.996,234.328,0
5.3,434.534,0.2535,1.014,238.638,0
5.4,442.37,0.2585,1.034,242.942,0
5.5,450.827,0.264,1.056,247.586,0
5.6,458.874,0.2685,1.074,252.006,0
5.7,466.743,0.274,1.096,256.327,0
5.8,475.542,0.279,1.116,261.159,0
5.9,483.191,0.284,1.136,265.36,0
6,491.594,0.2895,1.158,269.975,0
6.1,499.739,0.294,1.176,274.448,0
6.2,506.56,0.299,1.196,278.194,0
6.3,514.877,0.304,1.216,282.762,0
6.4,522.047,0.3085,1.234,286.699,0
6.5,528.964,0.3135,1.254,290.498,0
6.6,536.745,0.318,1.272,294.771,0
6.7,543.893,0.323,1.292,298.697,0
6.8,550.879,0.328,1.312,302.533,0
6.9,558.742,0.333,1.332,306.851,0
7,565.964,0.3375,1.35,310.817,0
7.1,573.481,0.343,1.372,314.946,0
7.2,581.549,0.348,1.392,319.377,0
7.3,588.536,0.353,1.412,323.214,0
7.4,596.381,0.358,1.432,327.522,0
7.5,603.627,0.363,1.452,331.501,0
7.6,610.418,0.368,1.472,335.231,0
7.7,618.241,0.3735,1.494,339.527,0
7.8,624.949,0.378,1.512,343.211,0
7.9,631.328,0.383,1.532,346.714,0
8,638.735,0.388,1.552,350.782,0
8.1,644.8,0.3925,1.57,354.113,0
8.2,651.042,0.3975,1.59,357.541,0
8.3,657.934,0.4025,1.61,361.326,0
8.4,663.876,0.407,1.628,364.589,0
8.5,670.229,0.412,1.648,368.078,0
