[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.77 / 6.04
8,Gage length [mm],25
9,Area,16.7308
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,0.033,0.0005,0.002,0.019,0
0.2,2.218,0.004,0.016,1.299,0
0.3,8.914,0.009,0.036,5.221,0
0.4,19.338,0.014,0.056,11.328,0
0.5,29.032,0.019,0.076,17.007,0
0.6,37.89,0.0245,0.098,22.195,0
0.7,47.533,0.0295,0.118,27.844,0
0.8,55.294,0.034,0.136,32.39,0
0.9,62.555,0.0395,0.158,36.644,0
1,70.108,0.0445,0.178,41.068,0
1.1,77.29,0.0495,0.198,45.275,0
1.2,85.944,0.0545,0.218,50.344,0
1.3,94.251,0.059,0.236,55.21,0
1.4,102.229,0.0635,0.254,59.884,0
1.5,111.36,0.0685,0.274,65.233,0
1.6,120.113,0.0735,0.294,70.36,0
1.7,128.728,0.078,0.312,75.407,0
1.8,138.162,0.083,0.332,80.933,0
1.9,147.41,0.088,0.352,86.35,0
2,156.368,0.093,0.372,91.598,0
2.1,166.42,0.098,0.392,97.486,0
2.2,175.799,0.103,0.412,102.98,0
2.3,185.412,0.1085,0.434,108.611,0
2.4,195.04,0.1135,0.454,114.251,0
2.5,203.778,0.1185,0.474,119.37,0
2.6,213.517,0.1235,0.494,125.075,0
2.7,222.333,0.128,0.512,130.239,0
2.8,230.567,0.1335,0.534,135.062,0
2.9,239.854,0.1385,0.554,140.502,0
3,247.937,0.143,0.572,145.237,0
3.1,255.874,0.1475,0.59,149.886,0
3.2,264.69,0.1525,0.61,155.051,0
3.3,272.359,0.157,0.628,159.543,0
3.4,280.419,0.162,0.648,164.265,0
