[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.94 / 6.07
8,Gage length [mm],25
9,Area,17.8458
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,-1.903,0.0005,0.002,-1.045,0
0.2,0.954,0.005,0.02,0.524,0
0.3,8.41,0.0095,0.038,4.618,0
0.4,17.862,0.0145,0.058,9.81,0
0.5,27.466,0.0195,0.078,15.084,0
0.6,36.588,0.024,0.096,20.093,0
0.7,45.73,0.029,0.116,25.114,0
0.8,54.529,0.034,0.136,29.946,0
0.9,61.965,0.0395,0.158,34.03,0
1,69.808,0.0445,0.178,38.337,0
1.1,78.048,0.05,0.2,42.863,0
1.2,86.272,0.0545,0.218,47.379,0
1.3,95.429,0.06,0.24,52.408,0
1.4,104.33,0.0645,0.258,57.296,0
1.5,113.064,0.07,0.28,62.093,0
1.6,123.007,0.075,0.3,67.553,0
1.7,131.985,0.079,0.316,72.484,0
1.8,140.775,0.084,0.336,77.311,0
1.9,150.744,0.089,0.356,82.786,0
2,159.64,0.0935,0.374,87.672,0
2.1,168.979,0.0985,0.394,92.801,0
2.2,179.144,0.1035,0.414,98.383,0
2.3,188.53,0.108,0.432,103.538,0
2.4,198.372,0.1135,0.454,108.942,0
2.5,208.7,0.1185,0.474,114.615,0
2.6,218.094,0.1235,0.494,119.774,0
2.7,228.187,0.1285,0.514,125.317,0
2.8,237.6,0.1335,0.534,130.486,0
2.9,246.475,0.1385,0.554,135.36,0
3,256.658,0.144,0.576,140.952,0
3.1,264.804,0.1485,0.594,145.426,0
3.2,273.822,0.1535,0.614,150.378,0
3.3,283.04,0.1585,0.634,155.441,0
3.4,290.71,0.163,0.652,159.653,0
3.5,298.788,0.168,0.672,164.089,0
3.6,307.333,0.1725,0.69,168.782,0
3.7,314.973,0.177,0.708,172.978,0
3.8,323.021,0.182,0.728,177.397,0
3.9,331.629,0.187,0.748,182.125,0
4,339.405,0.192,0.768,186.395,0
4.1,348.33,0.197,0.788,191.296,0
4.2,356.919,0.202,0.808,196.014,0
4.3,365.107,0.207,0.828,200.511,0
