[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.75 / 6.05
8,Gage length [mm],25
9,Area,16.6375
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,-0.01,0.001,0.004,-0.006,0
0.2,3.402,0.006,0.024,2.004,0
0.3,11.422,0.011,0.044,6.728,0
0.4,21.864,0.016,0.064,12.879,0
0.5,32.073,0.021,0.084,18.893,0
0.6,40.983,0.0255,0.102,24.142,0
0.7,49.779,0.031,0.124,29.323,0
0.8,57.207,0.0355,0.142,33.699,0
0.9,63.275,0.0405,0.162,37.273,0
1,70.264,0.0455,0.182,41.39,0
1.1,77.518,0.05,0.2,45.663,0
1.2,84.713,0.055,0.22,49.902,0
1.3,92.824,0.06,0.24,54.679,0
1.4,101.324,0.0645,0.258,59.687,0
1.5,109.786,0.0695,0.278,64.672,0
1.6,119.412,0.075,0.3,70.341,0
1.7,128.492,0.08,0.32,75.69,0
1.8,138.031,0.085,0.34,81.309,0
1.9,148.009,0.09,0.36,87.187,0
2,157.443,0.095,0.38,92.744,0
2.1,167.686,0.1005,0.402,98.778,0
2.2,177.966,0.105,0.42,104.834,0
2.3,187.108,0.11,0.44,110.219,0
2.4,197.374,0.115,0.46,116.266,0
2.5,206.922,0.1195,0.478,121.891,0
2.6,215.684,0.1245,0.498,127.052,0
2.7,225.581,0.1295,0.518,132.882,0
2.8,234.404,0.134,0.536,138.08,0
2.9,243.071,0.139,0.556,143.185,0
3,252.745,0.144,0.576,148.884,0
3.1,261.449,0.1485,0.594,154.011,0
3.2,270.633,0.1535,0.614,159.421,0
3.3,280.032,0.1585,0.634,164.957,0
3.4,288.711,0.1635,0.654,170.07,0
3.5,298.348,0.169,0.676,175.747,0
3.6,307.428,0.174,0.696,181.096,0
3.7,315.967,0.179,0.716,186.126,0
3.8,325.768,0.184,0.736,191.899,0
3.9,334.205,0.1885,0.754,196.869,0
4,342.429,0.194,0.776,201.714,0
4.1,351.308,0.1985,0.794,206.944,0
4.2,359.013,0.203,0.812,211.483,0
4.3,367.089,0.208,0.832,216.24,0
4.4,375.708,0.2125,0.85,221.317,0
4.5,383.497,0.217,0.868,225.906,0
4.6,391.619,0.2225,0.89,230.69,0
4.7,400.016,0.227,0.908,235.636,0
4.8,407.994,0.232,0.928,240.336,0
4.9,416.733,0.237,0.948,245.483,0
5,425.016,0.242,0.968,250.363,0
5.1,433.21,0.247,0.988,255.19,0
5.2,442.194,0.2525,1.01,260.482,0
5.3,450.09,0.257,1.028,265.133,0
5.4,458.012,0.2625,1.05,269.8,0
5.5,466.706,0.267,1.068,274.921,0
5.6,473.962,0.272,1.088,279.195,0
5.7,482.011,0.277,1.108,283.937,0
5.8,489.98,0.282,1.128,288.631,0
5.9,496.675,0.2865,1.146,292.575,0
6,504.396,0.2915,1.166,297.123,0
6.1,511.758,0.296,1.184,301.459,0
6.2,518.706,0.3005,1.202,305.553,0
6.3,526.3,0.3055,1.222,310.026,0
6.4,533.763,0.3105,1.242,314.422,0
6.5,540.86,0.3155,1.262,318.603,0
6.6,548.807,0.321,1.284,323.284,0
6.7,556.102,0.3255,1.302,327.581,0
6.8,563.644,0.331,1.324,332.024,0
6.9,571.321,0.336,1.344,336.546,0
7,577.959,0.341,1.364,340.457,0
7.1,585.427,0.346,1.384,344.856,0
7.2,592.485,0.351,1.404,349.014,0
7.3,598.673,0.3555,1.422,352.659,0
7.4,605.985,0.361,1.444,356.965,0
7.5,612.44,0.3655,1.462,360.768,0
7.6,618.471,0.37,1.48,364.321,0
7.7,625.368,0.375,1.5,368.384,0
7.8,631.208,0.3795,1.518,371.824,0
7.9,637.199,0.3845,1.538,375.353,0
8,644.123,0.3895,1.558,379.432,0
8.1,650.069,0.3945,1.578,382.934,0
8.2,656.359,0.3995,1.598,386.639,0
8.3,662.875,0.4045,1.618,390.478,0
8.4,668.769,0.4095,1.638,393.95,0
8.5,675.418,0.415,1.66,397.867,0
8.6,681.285,0.4195,1.678,401.322,0
8.7,686.827,0.425,1.7,404.587,0
8.8,693.079,0.43,1.72,408.27,0
