[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.77 / 6.04
8,Gage length [mm],25
9,Area,16.7308
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,-0.139,0,0,-0.081,0
0.2,1.76,0.0035,0.014,1.031,0
0.3,8.219,0.0085,0.034,4.815,0
0.4,17.936,0.0135,0.054,10.507,0
0.5,26.601,0.0185,0.074,15.582,0
0.6,35.622,0.024,0.096,20.867,0
0.7,44.584,0.0285,0.114,26.117,0
0.8,52.784,0.034,0.136,30.92,0
0.9,60.149,0.039,0.156,35.234,0
1,66.752,0.044,0.176,39.102,0
1.1,74.202,0.049,0.196,43.466,0
1.2,82.6,0.054,0.216,48.386,0
1.3,90.398,0.0585,0.234,52.954,0
1.4,98.459,0.0635,0.254,57.675,0
1.5,107.192,0.068,0.272,62.791,0
1.6,115.563,0.0725,0.29,67.695,0
1.7,124.391,0.078,0.312,72.866,0
1.8,133.625,0.0825,0.33,78.275,0
1.9,142.641,0.0875,0.35,83.557,0
2,152.434,0.0925,0.37,89.293,0
2.1,162.28,0.0975,0.39,95.061,0
2.2,171.685,0.1025,0.41,100.57,0
2.3,181.931,0.108,0.432,106.572,0
2.4,191.407,0.1125,0.45,112.123,0
2.5,200.789,0.118,0.472,117.618,0
2.6,210.664,0.1225,0.49,123.403,0
2.7,219.104,0.1275,0.51,128.347,0
2.8,228.315,0.1325,0.53,133.743,0
2.9,236.396,0.1365,0.546,138.476,0
3,242.775,0.1405,0.562,142.213,0
3.1,251.017,0.1455,0.582,147.041,0
3.2,259.382,0.15,0.6,151.942,0
3.3,267.337,0.1545,0.618,156.601,0
3.4,276.31,0.1595,0.638,161.858,0
3.5,284.972,0.1645,0.658,166.932,0
3.6,293.363,0.169,0.676,171.847,0
3.7,302.816,0.1745,0.698,177.384,0
3.8,311.262,0.179,0.716,182.331,0
3.9,320.325,0.1845,0.738,187.641,0
4,329.749,0.1895,0.758,193.161,0
4.1,338.07,0.1945,0.778,198.035,0
4.2,347.474,0.2,0.8,203.544,0
4.3,356.021,0.2045,0.818,208.551,0
4.4,363.876,0.2095,0.838,213.152,0
4.5,372.858,0.2145,0.858,218.413,0
4.6,380.699,0.2185,0.874,223.007,0
4.7,388.034,0.2235,0.894,227.303,0
4.8,396.923,0.2285,0.914,232.51,0
