[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.53 / 6.05
8,Gage length [mm],25
9,Area,15.3065
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,-0.502,0,0,-0.321,0
0.2,0.989,0.0035,0.014,0.634,0
0.3,6.753,0.009,0.036,4.324,0
0.4,16.164,0.0135,0.054,10.349,0
0.5,24.468,0.018,0.072,15.667,0
0.6,33.078,0.023,0.092,21.179,0
0.7,41.553,0.0275,0.11,26.606,0
0.8,49.707,0.032,0.128,31.827,0
0.9,57.948,0.0375,0.15,37.104,0
1,64.505,0.042,0.168,41.302,0
1.1,71.682,0.0475,0.19,45.897,0
1.2,79.855,0.0525,0.21,51.13,0
1.3,87.711,0.0575,0.23,56.161,0
1.4,96.401,0.063,0.252,61.725,0
1.5,105.242,0.0675,0.27,67.385,0
1.6,113.57,0.0725,0.29,72.718,0
1.7,122.972,0.078,0.312,78.738,0
1.8,131.918,0.0825,0.33,84.466,0
1.9,140.257,0.0875,0.35,89.805,0
2,149.983,0.0925,0.37,96.032,0
2.1,158.39,0.097,0.388,101.415,0
2.2,166.595,0.102,0.408,106.669,0
2.3,175.673,0.107,0.428,112.481,0
2.4,183.881,0.1115,0.446,117.737,0
2.5,192.207,0.1165,0.466,123.068,0
2.6,201.01,0.121,0.484,128.705,0
2.7,208.918,0.126,0.504,133.768,0
2.8,217.797,0.131,0.524,139.453,0
2.9,226.485,0.136,0.544,145.016,0
3,234.738,0.141,0.564,150.3,0
3.1,243.638,0.1465,0.586,155.999,0
3.2,251.842,0.151,0.604,161.252,0
3.3,259.613,0.1565,0.626,166.227,0
3.4,268.345,0.1615,0.646,171.819,0
3.5,275.531,0.166,0.664,176.42,0
3.6,283.38,0.171,0.684,181.446,0
3.7,291.577,0.176,0.704,186.694,0
3.8,298.596,0.1805,0.722,191.188,0
3.9,306.108,0.1855,0.742,195.998,0
4,314.139,0.1905,0.762,201.14,0
4.1,321.006,0.195,0.78,205.537,0
4.2,328.89,0.2,0.8,210.585,0
4.3,336.588,0.2045,0.818,215.514,0
4.4,343.909,0.2095,0.838,220.202,0
4.5,352.177,0.2145,0.858,225.496,0
4.6,359.852,0.2195,0.878,230.41,0
4.7,367.501,0.225,0.9,235.308,0
4.8,375.877,0.23,0.92,240.67,0
4.9,383.294,0.235,0.94,245.419,0
5,391.206,0.24,0.96,250.486,0
5.1,399.136,0.245,0.98,255.563,0
5.2,405.766,0.2495,0.998,259.808,0
5.3,413.535,0.255,1.02,264.783,0
5.4,420.659,0.2595,1.038,269.344,0
5.5,427.062,0.264,1.056,273.444,0
5.6,434.58,0.269,1.076,278.257,0
5.7,441.513,0.2735,1.094,282.697,0
5.8,448.243,0.2785,1.114,287.006,0
5.9,455.784,0.2835,1.134,291.834,0
6,462.905,0.288,1.152,296.394,0
6.1,470.1,0.2935,1.174,301.001,0
6.2,477.689,0.2985,1.194,305.86,0
6.3,484.444,0.303,1.212,310.185,0
6.4,491.893,0.3085,1.234,314.954,0
6.5,499.297,0.3135,1.254,319.695,0
6.6,505.661,0.3185,1.274,323.77,0
6.7,513.224,0.324,1.296,328.612,0
6.8,519.946,0.3285,1.314,332.916,0
6.9,526.112,0.3335,1.334,336.865,0
7,533.371,0.3385,1.354,341.512,0
7.1,539.224,0.343,1.372,345.26,0
7.2,545.146,0.348,1.392,349.051,0
7.3,552.019,0.3525,1.41,353.452,0
7.4,557.76,0.357,1.428,357.128,0
7.5,563.827,0.362,1.448,361.013,0
7.6,570.422,0.367,1.468,365.235,0
7.7,576.511,0.372,1.488,369.134,0
7.8,582.991,0.377,1.508,373.284,0
7.9,589.726,0.382,1.528,377.596,0
8,595.643,0.3875,1.55,381.384,0
8.1,602.312,0.3925,1.57,385.654,0
8.2,608.204,0.3975,1.59,389.427,0
8.3,614.06,0.4025,1.61,393.177,0
8.4,620.427,0.408,1.632,397.253,0
8.5,625.402,0.412,1.648,400.438,0
8.6,631.192,0.4175,1.67,404.146,0
8.7,636.965,0.4225,1.69,407.842,0
8.8,641.444,0.427,1.708,410.71,0
8.9,646.826,0.432,1.728,414.156,0
9,652.246,0.4365,1.746,417.627,0
9.1,656.714,0.4415,1.766,420.488,0
9.2,662.018,0.4465,1.786,423.884,0
9.3,667.218,0.451,1.804,427.213,0
9.4,671.907,0.456,1.824,430.216,0
9.5,677.072,0.4615,1.846,433.523,0
9.6,681.822,0.466,1.864,436.564,0
9.7,686.386,0.4715,1.886,439.486,0
9.8,691.482,0.4765,1.906,442.749,0
9.9,695.465,0.4815,1.926,445.299,0
10,700.297,0.487,1.948,448.393,0
10.1,704.43,0.492,1.968,451.039,0
10.2,707.766,0.4965,1.986,453.175,0
10.3,712.094,0.502,2.008,455.946,0
10.4,715.517,0.506,2.024,458.138,0
10.5,718.439,0.511,2.044,460.009,0
10.6,722.321,0.516,2.064,462.495,0
10.7,725.333,0.5205,2.082,464.423,0
10.8,728.243,0.5255,2.102,466.287,0
10.9,731.808,0.5305,2.122,468.57,0
11,734.601,0.5355,2.142,470.358,0
11.1,737.402,0.5405,2.162,472.151,0
11.2,740.469,0.5455,2.182,474.115,0
11.3,742.912,0.5505,2.202,475.679,0
11.4,745.474,0.556,2.224,477.32,0
11.5,747.552,0.561,2.244,478.65,0
11.6,749.299,0.566,2.264,479.769,0
11.7,751.654,0.5715,2.286,481.277,0
11.8,752.703,0.576,2.304,481.948,0
11.9,753.489,0.581,2.324,482.452,0
12,753.748,0.586,2.344,482.618,0
12.1,751.664,0.5905,2.362,481.283,0
12.2,750.961,0.5955,2.382,480.833,0
12.3,752.823,0.6005,2.402,482.025,0
12.4,754.115,0.605,2.42,482.852,0
12.5,755.783,0.61,2.44,483.921,0
12.6,757.358,0.615,2.46,484.929,0
12.7,759.697,0.62,2.48,486.427,0
12.8,762.766,0.625,2.5,488.391,0
12.9,764.953,0.63,2.52,489.792,0
13,766.842,0.635,2.54,491.001,0
13.1,768.934,0.6405,2.562,492.341,0
13.2,770.382,0.645,2.58,493.268,0
13.3,771.936,0.6505,2.602,494.263,0
13.4,774.001,0.6555,2.622,495.585,0
13.5,774.806,0.66,2.64,496.101,0
13.6,776.694,0.6655,2.662,497.309,0
13.7,778.284,0.67,2.68,498.327,0
13.8,779.322,0.6745,2.698,498.992,0
13.9,781.158,0.68,2.72,500.168,0
14,782.552,0.6845,2.738,501.06,0
14.1,783.634,0.689,2.756,501.753,0
14.2,785.529,0.6945,2.778,502.966,0
14.3,786.761,0.699,2.796,503.755,0
14.4,788.103,0.704,2.816,504.615,0
14.5,789.908,0.7095,2.838,505.77,0
14.6,791.101,0.714,2.856,506.534,0
14.7,792.495,0.7195,2.878,507.427,0
14.8,794.192,0.7245,2.898,508.513,0
14.9,795.095,0.7295,2.918,509.092,0
15,796.893,0.735,2.94,510.243,0
15.1,798.047,0.74,2.96,510.982,0
15.2,798.719,0.7445,2.978,511.412,0
15.3,800.523,0.75,3,512.567,0
15.4,801.382,0.7545,3.018,513.117,0
15.5,802.387,0.759,3.036,513.76,0
15.6,803.95,0.764,3.056,514.761,0
15.7,804.833,0.769,3.076,515.327,0
15.8,806.044,0.7735,3.094,516.102,0
15.9,807.728,0.7785,3.114,517.18,0
16,808.565,0.7835,3.134,517.716,0
16.1,809.935,0.7885,3.154,518.594,0
16.2,811.504,0.794,3.176,519.598,0
16.3,812.298,0.7985,3.194,520.107,0
16.4,813.903,0.804,3.216,521.134,0
16.5,815.049,0.809,3.236,521.868,0
16.6,815.768,0.814,3.256,522.328,0
16.7,817.584,0.8195,3.278,523.491,0
16.8,818.265,0.824,3.296,523.927,0
16.9,819.331,0.829,3.316,524.609,0
17,820.85,0.834,3.336,525.582,0
17.1,821.248,0.8385,3.354,525.837,0
17.2,822.419,0.844,3.376,526.587,0
17.3,823.75,0.8485,3.394,527.439,0
17.4,824.412,0.853,3.412,527.863,0
17.5,825.718,0.858,3.432,528.699,0
17.6,827.043,0.863,3.452,529.548,0
17.7,827.816,0.868,3.472,530.043,0
17.8,829.176,0.8735,3.494,530.913,0
17.9,830.361,0.878,3.512,531.672,0
18,831.152,0.8835,3.534,532.179,0
18.1,832.801,0.8885,3.554,533.234,0
18.2,833.376,0.8935,3.574,533.603,0
18.3,834.377,0.899,3.596,534.243,0
18.4,835.674,0.904,3.616,535.074,0
18.5,836.186,0.9085,3.634,535.402,0
18.6,837.387,0.914,3.656,536.17,0
18.7,838.45,0.9185,3.674,536.851,0
18.8,838.83,0.923,3.692,537.095,0
