[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.75 / 6.05
8,Gage length [mm],25
9,Area,16.6375
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,0.643,0.0025,0.01,0.379,0
0.2,4.607,0.007,0.028,2.714,0
0.3,12.298,0.0115,0.046,7.245,0
0.4,21.019,0.017,0.068,12.382,0
0.5,29.594,0.0215,0.086,17.433,0
0.6,38.07,0.0265,0.106,22.426,0
0.7,47.144,0.0315,0.126,27.771,0
0.8,55.324,0.0365,0.146,32.59,0
0.9,63.438,0.042,0.168,37.369,0
1,72.199,0.047,0.188,42.53,0
1.1,80.386,0.052,0.208,47.353,0
1.2,89.061,0.0575,0.23,52.463,0
1.3,97.914,0.062,0.248,57.678,0
1.4,106.17,0.067,0.268,62.541,0
1.5,115.344,0.072,0.288,67.945,0
1.6,124.104,0.0765,0.306,73.105,0
1.7,132.014,0.0815,0.326,77.765,0
1.8,141.018,0.0865,0.346,83.069,0
1.9,149.393,0.091,0.364,88.003,0
2,157.171,0.0955,0.382,92.584,0
2.1,166.187,0.101,0.404,97.896,0
2.2,174.546,0.1055,0.422,102.819,0
2.3,183.083,0.111,0.444,107.848,0
2.4,192.289,0.1155,0.462,113.271,0
2.5,200.927,0.121,0.484,118.36,0
2.6,210.206,0.126,0.504,123.826,0
2.7,219.16,0.131,0.524,129.1,0
2.8,227.352,0.136,0.544,133.925,0
2.9,236.673,0.1415,0.566,139.416,0
3,244.677,0.146,0.584,144.131,0
3.1,252.433,0.151,0.604,148.7,0
3.2,261.182,0.156,0.624,153.854,0
3.3,268.588,0.1605,0.642,158.216,0
3.4,276.233,0.1655,0.662,162.72,0
3.5,284.625,0.17,0.68,167.663,0
3.6,292.006,0.1745,0.698,172.011,0
3.7,299.67,0.1795,0.718,176.526,0
3.8,307.854,0.1845,0.738,181.347,0
3.9,315.443,0.1895,0.758,185.817,0
4,323.43,0.1945,0.778,190.522,0
4.1,331.602,0.1995,0.798,195.336,0
4.2,339.499,0.2045,0.818,199.987,0
4.3,347.909,0.2095,0.838,204.942,0
4.4,355.467,0.2145,0.858,209.394,0
4.5,362.951,0.2195,0.878,213.802,0
4.6,371.444,0.225,0.9,218.805,0
4.7,378.026,0.2295,0.918,222.683,0
4.8,385.459,0.2345,0.938,227.061,0
4.9,392.915,0.239,0.956,231.453,0
5,399.296,0.2435,0.974,235.212,0
5.1,406.518,0.2485,0.994,239.466,0
5.2,413.709,0.2535,1.014,243.702,0
5.3,420.203,0.258,1.032,247.527,0
5.4,427.395,0.263,1.052,251.764,0
5.5,434.934,0.268,1.072,256.205,0
5.6,441.68,0.273,1.092,260.179,0
5.7,449.186,0.278,1.112,264.601,0
5.8,456.426,0.283,1.132,268.865,0
5.9,463.321,0.288,1.152,272.927,0
6,471.089,0.293,1.172,277.503,0
6.1,477.455,0.298,1.192,281.253,0
6.2,484.803,0.3035,1.214,285.581,0
6.3,491.983,0.308,1.232,289.811,0
6.4,498.056,0.313,1.252,293.388,0
6.5,505.204,0.318,1.272,297.599,0
6.6,511.569,0.3225,1.29,301.348,0
6.7,517.086,0.3275,1.31,304.598,0
6.8,524.009,0.3325,1.33,308.676,0
6.9,530.164,0.337,1.348,312.302,0
7,535.963,0.342,1.368,315.718,0
7.1,542.804,0.347,1.388,319.748,0
7.2,548.979,0.3515,1.406,323.386,0
7.3,555.345,0.357,1.428,327.135,0
7.4,562.241,0.362,1.448,331.198,0
7.5,568.309,0.3665,1.466,334.772,0
7.6,574.77,0.372,1.488,338.578,0
7.7,581.064,0.377,1.508,342.285,0
7.8,586.666,0.382,1.528,345.586,0
7.9,593.34,0.3875,1.55,349.517,0
8,598.9,0.392,1.568,352.792,0
8.1,604.197,0.397,1.588,355.913,0
8.2,610.578,0.402,1.608,359.671,0
8.3,615.492,0.4065,1.626,362.566,0
8.4,620.762,0.4115,1.646,365.67,0
8.5,626.689,0.4165,1.666,369.162,0
8.6,631.498,0.421,1.684,371.995,0
8.7,636.697,0.426,1.704,375.057,0
8.8,642.368,0.431,1.724,378.398,0
8.9,647.335,0.4355,1.742,381.324,0
9,652.863,0.441,1.764,384.58,0
9.1,658.446,0.4455,1.782,387.868,0
9.2,663.193,0.451,1.804,390.665,0
9.3,668.946,0.456,1.824,394.054,0
9.4,673.769,0.461,1.844,396.895,0
9.5,678.658,0.466,1.864,399.775,0
9.6,684.009,0.4715,1.886,402.927,0
9.7,688.003,0.476,1.904,405.28,0
9.8,692.643,0.481,1.924,408.013,0
9.9,697.686,0.486,1.944,410.984,0
10,701.101,0.4905,1.962,412.995,0
10.1,705.714,0.4955,1.982,415.713,0
10.2,710.005,0.5,2,418.24,0
10.3,713.708,0.505,2.02,420.422,0
10.4,718.196,0.51,2.04,423.066,0
10.5,722.371,0.5145,2.058,425.525,0
10.6,726.131,0.5195,2.078,427.739,0
10.7,730.522,0.525,2.1,430.327,0
10.8,734.259,0.53,2.12,432.527,0
10.9,738.111,0.535,2.14,434.797,0
11,742.292,0.54,2.16,437.259,0
11.1,745.376,0.545,2.18,439.076,0
11.2,749.179,0.5505,2.202,441.316,0
11.3,752.605,0.5555,2.222,443.335,0
11.4,755.117,0.56,2.24,444.814,0
11.5,758.894,0.5655,2.262,447.039,0
11.6,761.571,0.57,2.28,448.616,0
11.7,764.138,0.5745,2.298,450.128,0
11.8,767.085,0.5795,2.318,451.864,0
11.9,769.469,0.5845,2.338,453.269,0
12,771.926,0.589,2.356,454.716,0
12.1,774.869,0.594,2.376,456.45,0
12.2,777.055,0.599,2.396,457.738,0
12.3,779.801,0.604,2.416,459.355,0
12.4,782.397,0.6095,2.438,460.884,0
12.5,784.318,0.614,2.456,462.016,0
12.6,785.902,0.6185,2.474,462.949,0
12.7,787.897,0.623,2.492,464.124,0
12.8,789.572,0.628,2.512,465.11,0
12.9,792.136,0.633,2.532,466.621,0
13,793.96,0.6375,2.55,467.695,0
13.1,795.773,0.6425,2.57,468.764,0
13.2,798.204,0.6475,2.59,470.195,0
13.3,799.234,0.652,2.608,470.802,0
13.4,801.141,0.6575,2.63,471.925,0
13.5,803.212,0.662,2.648,473.146,0
13.6,804.318,0.6665,2.666,473.797,0
13.7,806.309,0.6715,2.686,474.97,0
13.8,808.296,0.6765,2.706,476.14,0
13.9,809.496,0.6815,2.726,476.848,0
14,811.453,0.687,2.748,478,0
