[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.77 / 6.06
8,Gage length [mm],25
9,Area,16.7862
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,-0.313,0,0,-0.183,0
0.2,1.332,0.0035,0.014,0.778,0
0.3,6.801,0.0085,0.034,3.971,0
0.4,17.393,0.014,0.056,10.155,0
0.5,27.204,0.0185,0.074,15.883,0
0.6,36.296,0.0235,0.094,21.191,0
0.7,44.94,0.0285,0.114,26.238,0
0.8,50.921,0.033,0.132,29.73,0
0.9,57.524,0.038,0.152,33.586,0
1,64.988,0.043,0.172,37.943,0
1.1,72.113,0.0475,0.19,42.103,0
1.2,79.765,0.0525,0.21,46.57,0
1.3,87.741,0.0575,0.23,51.228,0
1.4,95.568,0.0625,0.25,55.797,0
1.5,103.911,0.0675,0.27,60.668,0
1.6,112.438,0.0725,0.29,65.647,0
1.7,120.905,0.0775,0.31,70.59,0
1.8,130.139,0.083,0.332,75.982,0
1.9,138.501,0.0875,0.35,80.864,0
2,147.083,0.093,0.372,85.874,0
2.1,156.037,0.098,0.392,91.102,0
2.2,163.761,0.1025,0.41,95.612,0
2.3,172.482,0.108,0.432,100.703,0
2.4,181.25,0.1125,0.45,105.823,0
2.5,188.883,0.117,0.468,110.279,0
2.6,197.5,0.122,0.488,115.31,0
2.7,205.885,0.1265,0.506,120.205,0
2.8,213.58,0.1315,0.526,124.698,0
2.9,222.273,0.1365,0.546,129.774,0
3,230.819,0.1415,0.566,134.763,0
3.1,239.082,0.146,0.584,139.588,0
3.2,248.066,0.1515,0.606,144.833,0
3.3,256.314,0.1565,0.626,149.649,0
3.4,264.88,0.1615,0.646,154.65,0
3.5,273.732,0.1665,0.666,159.818,0
3.6,281.584,0.1715,0.686,164.402,0
3.7,290.142,0.177,0.708,169.399,0
3.8,298.661,0.1815,0.726,174.373,0
3.9,306.042,0.1865,0.746,178.682,0
4,314.603,0.1915,0.766,183.68,0
4.1,322.403,0.196,0.784,188.235,0
4.2,329.449,0.201,0.804,192.348,0
4.3,337.265,0.206,0.824,196.911,0
4.4,344.815,0.2105,0.842,201.32,0
4.5,351.863,0.215,0.86,205.435,0
4.6,360.201,0.22,0.88,210.303,0
4.7,367.486,0.225,0.9,214.556,0
4.8,375.244,0.23,0.92,219.086,0
4.9,383.589,0.235,0.94,223.958,0
5,390.99,0.24,0.96,228.279,0
5.1,399.188,0.2455,0.982,233.065,0
5.2,406.895,0.25,1,237.565,0
5.3,413.939,0.2555,1.022,241.678,0
5.4,422.194,0.2605,1.042,246.497,0
5.5,428.931,0.265,1.06,250.431,0
5.6,435.854,0.27,1.08,254.473,0
5.7,443.572,0.275,1.1,258.979,0
5.8,449.938,0.2795,1.118,262.696,0
5.9,456.602,0.2845,1.138,266.587,0
6,464.081,0.2895,1.158,270.953,0
6.1,470.509,0.294,1.176,274.706,0
6.2,477.238,0.299,1.196,278.635,0
6.3,484.527,0.3035,1.214,282.89,0
6.4,491.147,0.3085,1.234,286.756,0
6.5,498.644,0.314,1.256,291.132,0
6.6,505.686,0.3185,1.274,295.244,0
6.7,512.463,0.324,1.296,299.201,0
6.8,520.314,0.329,1.316,303.784,0
6.9,526.752,0.334,1.336,307.543,0
7,533.696,0.3395,1.358,311.598,0
7.1,541.073,0.344,1.376,315.905,0
7.2,546.695,0.3485,1.394,319.187,0
7.3,553.51,0.354,1.416,323.166,0
7.4,560.187,0.3585,1.434,327.064,0
7.5,565.598,0.363,1.452,330.224,0
7.6,572.205,0.368,1.472,334.081,0
7.7,578.317,0.373,1.492,337.65,0
7.8,584.096,0.3775,1.51,341.024,0
7.9,590.745,0.3825,1.53,344.906,0
8,596.905,0.3875,1.55,348.502,0
8.1,602.84,0.3925,1.57,351.967,0
8.2,609.517,0.3975,1.59,355.866,0
8.3,615.624,0.4025,1.61,359.431,0
8.4,621.627,0.408,1.632,362.936,0
8.5,628.155,0.413,1.652,366.747,0
8.6,633.634,0.418,1.672,369.946,0
8.7,639.897,0.423,1.692,373.603,0
8.8,645.748,0.428,1.712,377.019,0
8.9,650.575,0.4325,1.73,379.837,0
9,656.809,0.438,1.752,383.477,0
9.1,661.854,0.4425,1.77,386.423,0
9.2,666.57,0.447,1.788,389.176,0
9.3,672.355,0.452,1.808,392.554,0
9.4,677.046,0.4565,1.826,395.292,0
9.5,682.089,0.4615,1.846,398.237,0
9.6,687.582,0.4665,1.866,401.444,0
9.7,692.433,0.4715,1.886,404.276,0
9.8,697.742,0.4765,1.906,407.376,0
9.9,703.117,0.4815,1.926,410.514,0
10,707.821,0.4865,1.946,413.26,0
10.1,713.294,0.492,1.968,416.456,0
10.2,718.055,0.497,1.988,419.235,0
10.3,722.424,0.502,2.008,421.786,0
10.4,727.595,0.507,2.028,424.806,0
10.5,731.551,0.512,2.048,427.115,0
10.6,735.685,0.517,2.068,429.528,0
10.7,740.143,0.522,2.088,432.131,0
10.8,743.411,0.5265,2.106,434.04,0
10.9,747.194,0.5315,2.126,436.248,0
11,751.008,0.536,2.144,438.475,0
11.1,753.96,0.541,2.164,440.198,0
11.2,757.366,0.546,2.184,442.187,0
11.3,760.693,0.5505,2.202,444.13,0
11.4,763.421,0.5555,2.222,445.722,0
11.5,766.666,0.561,2.244,447.617,0
11.6,769.214,0.5655,2.262,449.104,0
11.7,771.61,0.571,2.284,450.504,0
11.8,774.464,0.576,2.304,452.17,0
11.9,776.22,0.581,2.324,453.195,0
12,778.614,0.586,2.344,454.593,0
12.1,781.091,0.591,2.364,456.039,0
12.2,782.395,0.596,2.384,456.8,0
12.3,784.816,0.601,2.404,458.214,0
12.4,786.657,0.606,2.424,459.289,0
12.5,788.083,0.6105,2.442,460.121,0
12.6,790.201,0.6155,2.462,461.358,0
12.7,791.806,0.62,2.48,462.295,0
12.8,793.385,0.625,2.5,463.217,0
12.9,795.509,0.63,2.52,464.457,0
13,797.277,0.6345,2.538,465.489,0
13.1,798.942,0.64,2.56,466.461,0
13.2,801.184,0.645,2.58,467.77,0
13.3,802.747,0.65,2.6,468.683,0
13.4,804.578,0.6555,2.622,469.752,0
13.5,806.746,0.66,2.64,471.017,0
13.6,808.025,0.665,2.66,471.765,0
13.7,810.072,0.6705,2.682,472.959,0
13.8,811.695,0.6755,2.702,473.907,0
13.9,812.916,0.68,2.72,474.62,0
14,815.355,0.6855,2.742,476.044,0
14.1,816.474,0.69,2.76,476.697,0
14.2,817.703,0.695,2.78,477.415,0
14.3,819.885,0.7,2.8,478.689,0
14.4,821.271,0.7045,2.818,479.498,0
14.5,822.851,0.7095,2.838,480.42,0
14.6,824.921,0.714,2.856,481.629,0
14.7,826.145,0.719,2.876,482.344,0
14.8,828.152,0.7245,2.898,483.515,0
14.9,830.065,0.7295,2.918,484.633,0
15,830.85,0.7335,2.934,485.091,0
15.1,832.483,0.7385,2.954,486.044,0
15.2,834.026,0.743,2.972,486.945,0
15.3,835.525,0.748,2.992,487.82,0
15.4,837.825,0.753,3.012,489.163,0
15.5,839.073,0.758,3.032,489.892,0
15.6,840.578,0.763,3.052,490.77,0
15.7,842.534,0.768,3.072,491.912,0
15.8,843.522,0.7725,3.09,492.489,0
15.9,845.237,0.7775,3.11,493.491,0
16,846.93,0.782,3.128,494.479,0
16.1,848.012,0.787,3.148,495.11,0
16.2,849.823,0.792,3.168,496.168,0
16.3,851.473,0.797,3.188,497.131,0
16.4,852.847,0.802,3.208,497.934,0
16.5,854.667,0.807,3.228,498.996,0
16.6,856.112,0.812,3.248,499.84,0
16.7,857.672,0.817,3.268,500.751,0
16.8,859.503,0.8225,3.29,501.82,0
16.9,860.753,0.8275,3.31,502.549,0
17,862.284,0.8325,3.33,503.443,0
17.1,864.204,0.8375,3.35,504.564,0
17.2,865.091,0.8425,3.37,505.082,0
17.3,866.949,0.8475,3.39,506.167,0
17.4,868.18,0.8525,3.41,506.886,0
17.5,869.078,0.857,3.428,507.41,0
17.6,870.781,0.862,3.448,508.404,0
17.7,872.162,0.8665,3.466,509.21,0
17.8,873.266,0.8715,3.486,509.855,0
17.9,875.115,0.8765,3.506,510.935,0
18,876.497,0.8815,3.526,511.742,0
18.1,877.788,0.8865,3.546,512.495,0
18.2,879.589,0.8915,3.566,513.547,0
18.3,880.651,0.8965,3.586,514.167,0
18.4,882.373,0.902,3.608,515.172,0
18.5,883.804,0.907,3.628,516.007,0
18.6,884.813,0.912,3.648,516.597,0
18.7,886.729,0.9175,3.67,517.716,0
18.8,887.757,0.922,3.688,518.316,0
18.9,888.728,0.927,3.708,518.883,0
19,890.631,0.932,3.728,519.994,0
19.1,891.387,0.937,3.748,520.435,0
19.2,892.618,0.9415,3.766,521.154,0
19.3,894.343,0.9465,3.786,522.161,0
19.4,895.243,0.9515,3.806,522.686,0
19.5,896.53,0.956,3.824,523.438,0
19.6,898.128,0.961,3.844,524.371,0
19.7,899.264,0.966,3.864,525.034,0
19.8,900.903,0.9715,3.886,525.991,0
19.9,902.229,0.976,3.904,526.765,0
20,903.172,0.9815,3.926,527.316,0
20.1,904.782,0.987,3.948,528.256,0
20.2,905.969,0.992,3.968,528.949,0
20.3,907.038,0.997,3.988,529.573,0
20.4,908.928,1.002,4.008,530.676,0
20.5,909.559,1.007,4.028,531.045,0
20.6,910.744,1.012,4.048,531.737,0
20.7,912.15,1.017,4.068,532.558,0
20.8,912.835,1.0215,4.086,532.957,0
20.9,914.132,1.0265,4.106,533.715,0
21,915.444,1.0315,4.126,534.481,0
21.1,916.363,1.036,4.144,535.017,0
21.2,917.578,1.041,4.164,535.727,0
21.3,919.073,1.046,4.184,536.599,0
21.4,919.918,1.051,4.204,537.093,0
21.5,921.646,1.056,4.224,538.102,0
21.6,922.725,1.061,4.244,538.732,0
21.7,923.756,1.066,4.264,539.334,0
21.8,925.441,1.0715,4.286,540.317,0
21.9,926.116,1.076,4.304,540.712,0
22,927.218,1.0815,4.326,541.355,0
22.1,928.407,1.0865,4.346,542.049,0
22.2,929.111,1.0915,4.366,542.46,0
22.3,930.752,1.0965,4.386,543.418,0
22.4,931.863,1.1015,4.406,544.067,0
22.5,932.345,1.106,4.424,544.349,0
22.6,933.793,1.111,4.444,545.194,0
22.7,934.685,1.116,4.464,545.714,0
22.8,935.511,1.1205,4.482,546.197,0
22.9,937.042,1.1255,4.502,547.091,0
23,938.006,1.1305,4.522,547.653,0
