[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.77 / 6.07
8,Gage length [mm],25
9,Area,16.8139
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,0.188,0.001,0.004,0.109,0
0.2,3.107,0.005,0.02,1.811,0
0.3,11.213,0.0105,0.042,6.536,0
0.4,21.081,0.0155,0.062,12.288,0
0.5,31.015,0.0205,0.082,18.078,0
0.6,41.342,0.0255,0.102,24.098,0
0.7,49.825,0.0305,0.122,29.043,0
0.8,57.008,0.036,0.144,33.229,0
0.9,64.076,0.0405,0.162,37.349,0
1,71.042,0.0455,0.182,41.41,0
1.1,79.22,0.0505,0.202,46.177,0
1.2,87.042,0.055,0.22,50.736,0
1.3,94.789,0.06,0.24,55.251,0
1.4,103.558,0.065,0.26,60.363,0
1.5,111.786,0.0695,0.278,65.159,0
1.6,120.086,0.0745,0.298,69.996,0
1.7,129.442,0.0795,0.318,75.45,0
1.8,138.285,0.084,0.336,80.604,0
1.9,147.515,0.0895,0.358,85.984,0
2,157.285,0.0945,0.378,91.679,0
2.1,166.485,0.0995,0.398,97.042,0
2.2,176.272,0.1045,0.418,102.747,0
2.3,185.75,0.1095,0.438,108.271,0
2.4,194.748,0.1145,0.458,113.516,0
2.5,204.628,0.12,0.48,119.275,0
2.6,213.017,0.1245,0.498,124.165,0
2.7,221.478,0.1295,0.518,129.096,0
2.8,230.603,0.1345,0.538,134.415,0
2.9,238.333,0.139,0.556,138.921,0
3,246.639,0.144,0.576,143.762,0
3.1,255.166,0.1485,0.594,148.733,0
3.2,263.044,0.153,0.612,153.325,0
3.3,271.246,0.1585,0.634,158.105,0
3.4,279.909,0.163,0.652,163.155,0
3.5,287.776,0.168,0.672,167.741,0
3.6,296.554,0.1735,0.694,172.858,0
3.7,304.68,0.1785,0.714,177.594,0
3.8,312.862,0.1835,0.734,182.363,0
3.9,321.623,0.1885,0.754,187.47,0
4,329.529,0.1935,0.774,192.078,0
4.1,337.581,0.199,0.796,196.771,0
4.2,346.079,0.2035,0.814,201.725,0
4.3,353.208,0.2085,0.834,205.88,0
4.4,361.226,0.2135,0.854,210.554,0
4.5,369.266,0.218,0.872,215.241,0
4.6,375.845,0.223,0.892,219.075,0
4.7,383.574,0.228,0.912,223.58,0
4.8,390.975,0.2325,0.93,227.894,0
4.9,397.842,0.237,0.948,231.897,0
5,405.706,0.2425,0.97,236.481,0
5.1,413.2,0.247,0.988,240.849,0
5.2,420.575,0.252,1.008,245.148,0
5.3,428.559,0.2575,1.03,249.802,0
5.4,436.08,0.262,1.048,254.185,0
5.5,443.576,0.2675,1.07,258.555,0
5.6,451.385,0.2725,1.09,263.106,0
5.7,458.175,0.2775,1.11,267.064,0
5.8,465.953,0.2825,1.13,271.598,0
5.9,473.072,0.2875,1.15,275.748,0
6,479.601,0.292,1.168,279.553,0
6.1,487.146,0.2975,1.19,283.951,0
6.2,493.777,0.302,1.208,287.816,0
6.3,499.941,0.3065,1.226,291.409,0
6.4,507.15,0.3115,1.246,295.611,0
6.5,513.669,0.316,1.264,299.411,0
6.6,519.995,0.321,1.284,303.098,0
6.7,527.196,0.326,1.304,307.295,0
6.8,533.568,0.331,1.324,311.009,0
6.9,540.434,0.336,1.344,315.012,0
7,547.396,0.341,1.364,319.07,0
7.1,553.866,0.346,1.384,322.841,0
7.2,560.861,0.3515,1.406,326.919,0
7.3,567.278,0.356,1.424,330.659,0
7.4,573.446,0.3615,1.446,334.254,0
7.5,580.218,0.3665,1.466,338.202,0
7.6,585.658,0.371,1.484,341.372,0
7.7,591.383,0.3765,1.506,344.71,0
7.8,597.778,0.3815,1.526,348.437,0
7.9,602.646,0.386,1.544,351.274,0
8,608.041,0.391,1.564,354.419,0
8.1,613.885,0.3955,1.582,357.825,0
8.2,618.801,0.4,1.6,360.691,0
8.3,624.475,0.4055,1.622,363.998,0
8.4,630.11,0.41,1.64,367.283,0
8.5,635.108,0.415,1.66,370.196,0
8.6,641.051,0.4205,1.682,373.66,0
