[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.99 / 6.03
8,Gage length [mm],25
9,Area,18.0297
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,1.262,0.0035,0.014,0.686,0
0.2,4.952,0.0085,0.034,2.692,0
0.3,12.621,0.0135,0.054,6.861,0
0.4,21.197,0.0185,0.074,11.522,0
0.5,29.966,0.0235,0.094,16.289,0
0.6,38.227,0.028,0.112,20.78,0
0.7,45.873,0.0335,0.134,24.935,0
0.8,54.126,0.0385,0.154,29.422,0
0.9,62.165,0.0435,0.174,33.792,0
1,70.396,0.049,0.196,38.266,0
1.1,79.501,0.054,0.216,43.215,0
1.2,87.515,0.0585,0.234,47.571,0
1.3,96.422,0.064,0.256,52.413,0
1.4,105.774,0.0685,0.274,57.497,0
1.5,113.802,0.073,0.292,61.86,0
1.6,122.79,0.078,0.312,66.746,0
1.7,132.028,0.083,0.332,71.768,0
1.8,140.496,0.0875,0.35,76.371,0
1.9,149.853,0.0925,0.37,81.457,0
2,158.724,0.0975,0.39,86.279,0
2.1,167.566,0.1025,0.41,91.086,0
2.2,176.567,0.108,0.432,95.978,0
2.3,185.497,0.1125,0.45,100.833,0
2.4,193.821,0.118,0.472,105.358,0
2.5,203.016,0.123,0.492,110.356,0
2.6,211.421,0.1275,0.51,114.924,0
2.7,220.356,0.133,0.532,119.781,0
2.8,229.082,0.1375,0.55,124.524,0
2.9,236.885,0.1425,0.57,128.766,0
3,245.741,0.148,0.592,133.58,0
3.1,253.797,0.152,0.608,137.959,0
3.2,261.23,0.157,0.628,142,0
3.3,270.095,0.162,0.648,146.818,0
3.4,277.713,0.1665,0.666,150.959,0
3.5,285.174,0.1715,0.686,155.015,0
3.6,293.672,0.1765,0.706,159.635,0
3.7,301.515,0.1815,0.726,163.898,0
3.8,309.237,0.1865,0.746,168.095,0
3.9,317.86,0.1915,0.766,172.783,0
4,325.456,0.1965,0.786,176.912,0
4.1,333.826,0.2015,0.806,181.461,0
4.2,341.849,0.2065,0.826,185.823,0
4.3,349.442,0.2115,0.846,189.95,0
4.4,357.825,0.217,0.868,194.507,0
4.5,365.169,0.2215,0.886,198.499,0
4.6,372.379,0.2265,0.906,202.418,0
4.7,380.189,0.2315,0.926,206.663,0
4.8,386.765,0.236,0.944,210.238,0
4.9,393.627,0.241,0.964,213.968,0
5,401.488,0.246,0.984,218.241,0
5.1,408.154,0.2505,1.002,221.865,0
5.2,415.322,0.2555,1.022,225.761,0
5.3,423.016,0.26,1.04,229.943,0
5.4,429.787,0.265,1.06,233.624,0
5.5,437.214,0.2705,1.082,237.661,0
5.6,444.619,0.275,1.1,241.687,0
5.7,451.465,0.28,1.12,245.408,0
5.8,458.997,0.2855,1.142,249.502,0
5.9,465.71,0.29,1.16,253.151,0
6,472.64,0.295,1.18,256.918,0
6.1,480.169,0.3,1.2,261.01,0
6.2,486.558,0.305,1.22,264.484,0
6.3,493.354,0.31,1.24,268.178,0
6.4,500.307,0.315,1.26,271.957,0
6.5,505.72,0.3195,1.278,274.9,0
6.6,512.474,0.3245,1.298,278.571,0
6.7,518.861,0.329,1.316,282.043,0
6.8,524.595,0.334,1.336,285.16,0
6.9,531.27,0.339,1.356,288.788,0
7,537.527,0.3435,1.374,292.189,0
7.1,543.566,0.3485,1.394,295.472,0
7.2,550.44,0.354,1.416,299.209,0
7.3,556.547,0.3585,1.434,302.528,0
7.4,562.754,0.364,1.456,305.902,0
7.5,569.214,0.369,1.476,309.414,0
7.6,575.04,0.374,1.496,312.581,0
7.7,581.249,0.379,1.516,315.956,0
7.8,587.308,0.384,1.536,319.249,0
7.9,592.592,0.3885,1.554,322.122,0
8,598.899,0.394,1.576,325.55,0
8.1,604.447,0.3985,1.594,328.566,0
8.2,609.339,0.403,1.612,331.225,0
8.3,615.658,0.408,1.632,334.66,0
8.4,620.498,0.413,1.652,337.291,0
8.5,625.734,0.4175,1.67,340.137,0
8.6,631.709,0.4225,1.69,343.385,0
8.7,636.648,0.4275,1.71,346.07,0
8.8,642.189,0.4325,1.73,349.082,0
8.9,647.932,0.4375,1.75,352.203,0
9,652.934,0.4425,1.77,354.923,0
9.1,658.618,0.448,1.792,358.012,0
9.2,663.941,0.4525,1.81,360.905,0
9.3,668.695,0.4575,1.83,363.49,0
9.4,674.067,0.463,1.852,366.41,0
9.5,678.395,0.4675,1.87,368.763,0
9.6,683.324,0.4725,1.89,371.442,0
9.7,688.759,0.4775,1.91,374.396,0
9.8,692.835,0.482,1.928,376.612,0
9.9,697.497,0.487,1.948,379.146,0
10,702.617,0.492,1.968,381.929,0
10.1,706.636,0.4965,1.986,384.114,0
10.2,711.509,0.5015,2.006,386.763,0
10.3,716.461,0.5065,2.026,389.455,0
10.4,720.821,0.5115,2.046,391.824,0
10.5,725.738,0.5165,2.066,394.497,0
10.6,730.122,0.5215,2.086,396.88,0
10.7,734.626,0.5265,2.106,399.329,0
10.8,739.621,0.532,2.128,402.044,0
10.9,743.704,0.5365,2.146,404.263,0
11,748.128,0.542,2.168,406.668,0
11.1,752.718,0.547,2.188,409.163,0
11.2,756.294,0.5515,2.206,411.107,0
11.3,760.738,0.557,2.228,413.523,0
11.4,765.013,0.5615,2.246,415.847,0
11.5,768.212,0.566,2.264,417.585,0
11.6,772.303,0.571,2.284,419.809,0
11.7,776.134,0.576,2.304,421.891,0
11.8,779.531,0.5805,2.322,423.738,0
11.9,783.647,0.5855,2.342,425.976,0
12,787.201,0.5905,2.362,427.907,0
12.1,790.721,0.5955,2.382,429.821,0
12.2,794.765,0.6005,2.402,432.019,0
12.3,797.866,0.605,2.42,433.705,0
12.4,801.242,0.61,2.44,435.54,0
12.5,804.99,0.615,2.46,437.577,0
12.6,807.424,0.6195,2.478,438.9,0
12.7,810.799,0.6245,2.498,440.735,0
12.8,814.494,0.629,2.516,442.743,0
12.9,817.207,0.634,2.536,444.218,0
13,820.927,0.639,2.556,446.24,0
13.1,823.686,0.644,2.576,447.74,0
13.2,826.108,0.6485,2.594,449.056,0
13.3,829.584,0.6535,2.614,450.946,0
