[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.53 / 6.05
8,Gage length [mm],25
9,Area,15.3065
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,-0.225,0,0,-0.144,0
0.2,0.959,0.0025,0.01,0.614,0
0.3,6.202,0.0075,0.03,3.971,0
0.4,15.531,0.012,0.048,9.944,0
0.5,25.175,0.0175,0.07,16.119,0
0.6,34.399,0.0225,0.09,22.025,0
0.7,43.554,0.0275,0.11,27.887,0
0.8,53.56,0.0325,0.13,34.294,0
0.9,61.856,0.0375,0.15,39.606,0
1,69.167,0.043,0.172,44.287,0
1.1,76.45,0.048,0.192,48.95,0
1.2,83.613,0.0525,0.21,53.537,0
1.3,91.779,0.058,0.232,58.765,0
1.4,99.876,0.0625,0.25,63.95,0
1.5,107.193,0.067,0.268,68.635,0
1.6,115.568,0.072,0.288,73.997,0
1.7,124.017,0.0765,0.306,79.407,0
1.8,131.902,0.0815,0.326,84.455,0
1.9,140.799,0.0865,0.346,90.152,0
2,149.212,0.0915,0.366,95.539,0
2.1,157.558,0.0965,0.386,100.883,0
2.2,166.647,0.1015,0.406,106.702,0
2.3,175.291,0.1065,0.426,112.237,0
2.4,183.857,0.1115,0.446,117.722,0
2.5,192.829,0.1165,0.466,123.467,0
2.6,200.751,0.1215,0.486,128.539,0
2.7,209.253,0.127,0.508,133.983,0
2.8,217.39,0.1315,0.526,139.193,0
2.9,224.781,0.1365,0.546,143.925,0
3,233.171,0.1415,0.566,149.297,0
3.1,240.54,0.146,0.584,154.015,0
3.2,247.508,0.151,0.604,158.477,0
3.3,255.506,0.156,0.624,163.598,0
3.4,262.586,0.1605,0.642,168.131,0
3.5,269.738,0.1655,0.662,172.711,0
3.6,277.776,0.1705,0.682,177.857,0
3.7,285.081,0.175,0.7,182.535,0
3.8,292.834,0.1805,0.722,187.499,0
3.9,301.09,0.1855,0.742,192.785,0
4,308.348,0.1905,0.762,197.432,0
4.1,316.454,0.1955,0.782,202.622,0
4.2,324.048,0.2005,0.802,207.485,0
4.3,331.233,0.2055,0.822,212.085,0
4.4,339.236,0.2105,0.842,217.209,0
4.5,346.043,0.215,0.86,221.568,0
4.6,353.163,0.2205,0.882,226.127,0
4.7,360.858,0.225,0.9,231.054,0
4.8,366.984,0.2295,0.918,234.976,0
4.9,374.068,0.2345,0.938,239.512,0
5,381.31,0.2395,0.958,244.149,0
5.1,387.68,0.244,0.976,248.228,0
5.2,394.537,0.249,0.996,252.618,0
5.3,401.569,0.254,1.016,257.12,0
5.4,408.162,0.2585,1.034,261.342,0
5.5,415.661,0.264,1.056,266.143,0
5.6,422.663,0.2685,1.074,270.627,0
5.7,429.359,0.274,1.096,274.914,0
5.8,436.901,0.279,1.116,279.744,0
5.9,443.223,0.284,1.136,283.791,0
6,450.147,0.2895,1.158,288.225,0
6.1,457.498,0.294,1.176,292.931,0
6.2,463.091,0.2985,1.194,296.512,0
6.3,469.944,0.304,1.216,300.901,0
6.4,476.417,0.3085,1.234,305.045,0
6.5,481.846,0.313,1.252,308.521,0
6.6,488.384,0.3185,1.274,312.708,0
6.7,494.607,0.323,1.292,316.692,0
6.8,500.431,0.3275,1.31,320.421,0
6.9,507.057,0.3325,1.33,324.664,0
7,513.046,0.3375,1.35,328.498,0
7.1,518.979,0.3425,1.37,332.297,0
7.2,525.754,0.348,1.392,336.635,0
7.3,531.482,0.3525,1.41,340.303,0
7.4,537.785,0.358,1.432,344.339,0
7.5,544.186,0.363,1.452,348.437,0
7.6,549.544,0.368,1.472,351.867,0
7.7,555.957,0.3735,1.494,355.974,0
7.8,561.642,0.378,1.512,359.614,0
7.9,566.75,0.383,1.532,362.885,0
8,572.912,0.388,1.552,366.83,0
8.1,577.979,0.3925,1.57,370.074,0
8.2,582.746,0.3975,1.59,373.127,0
8.3,588.313,0.4025,1.61,376.691,0
8.4,593.223,0.407,1.628,379.835,0
8.5,598.272,0.412,1.648,383.068,0
8.6,603.545,0.417,1.668,386.444,0
8.7,608.244,0.4215,1.686,389.452,0
8.8,613.586,0.427,1.708,392.873,0
8.9,618.952,0.432,1.728,396.309,0
9,623.748,0.437,1.748,399.38,0
9.1,629.035,0.4425,1.77,402.765,0
