[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.94 / 6.06
8,Gage length [mm],25
9,Area,17.8164
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,-0.638,0.001,0.004,-0.351,0
0.2,2.194,0.0055,0.022,1.207,0
0.3,10.293,0.011,0.044,5.662,0
0.4,20.497,0.0155,0.062,11.275,0
0.5,30.244,0.0205,0.082,16.637,0
0.6,39.611,0.0255,0.102,21.789,0
0.7,47.093,0.03,0.12,25.906,0
0.8,53.562,0.0345,0.138,29.464,0
0.9,61.047,0.04,0.16,33.581,0
1,68.499,0.0445,0.178,37.681,0
1.1,76.557,0.05,0.2,42.113,0
1.2,85.705,0.055,0.22,47.145,0
1.3,94.665,0.06,0.24,52.074,0
1.4,104.036,0.0655,0.262,57.229,0
1.5,114.003,0.07,0.28,62.712,0
1.6,122.915,0.075,0.3,67.614,0
1.7,133.071,0.0805,0.322,73.201,0
1.8,142.689,0.085,0.34,78.492,0
1.9,151.805,0.09,0.36,83.506,0
2,161.828,0.0955,0.382,89.02,0
2.1,171.017,0.1,0.4,94.075,0
2.2,179.49,0.1045,0.418,98.736,0
2.3,189.228,0.1095,0.438,104.092,0
2.4,198.005,0.114,0.456,108.921,0
2.5,206.583,0.119,0.476,113.639,0
2.6,216.209,0.124,0.496,118.934,0
2.7,224.991,0.1285,0.514,123.765,0
2.8,234.362,0.134,0.536,128.92,0
2.9,243.872,0.139,0.556,134.151,0
3,253.004,0.144,0.576,139.175,0
3.1,262.513,0.149,0.596,144.406,0
3.2,271.552,0.154,0.616,149.378,0
3.3,280.084,0.159,0.636,154.071,0
3.4,289.687,0.164,0.656,159.354,0
3.5,297.719,0.1685,0.674,163.772,0
3.6,306.243,0.174,0.696,168.461,0
3.7,315.365,0.1785,0.714,173.478,0
